model,method,dataset,task,augmentation_rate,tsed_score,bert_score
claude,keyboard,oldleetcode.json,Q00003,0.0,1.0,0.9995520710945129
claude,keyboard,oldleetcode.json,Q00003,0.0,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.0,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.0,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.0,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.05,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.05,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.05,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.05,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.05,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.1,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.1,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.1,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.1,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.1,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.15,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.15,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.15,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.15,1.0,
claude,keyboard,oldleetcode.json,Q00003,0.15,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.2,0.8446511627906975,0.9926875233650208
claude,keyboard,oldleetcode.json,Q00003,0.2,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.2,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.2,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.2,0.6362790697674419,
claude,keyboard,oldleetcode.json,Q00003,0.25,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.25,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.25,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.25,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.25,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.3,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.3,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.3,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.3,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.3,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.35,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.35,0.8446511627906975,
claude,keyboard,oldleetcode.json,Q00003,0.35,0.6362790697674419,
