model,method,dataset,task,augmentation_rate,tsed_score,bert_score
claude,keyboard,ourdataset.json,Q00000,0.0,0.8028945502680636,0.9915595054626465
claude,keyboard,ourdataset.json,Q00000,0.0,0.8267245285350564,0.9937950968742371
claude,keyboard,ourdataset.json,Q00000,0.0,0.8315412312285941,0.9921035766601562
claude,keyboard,ourdataset.json,Q00000,0.0,0.7639378238341973,0.99055415391922
claude,keyboard,ourdataset.json,Q00000,0.0,0.8438299009586476,0.993188738822937
claude,keyboard,ourdataset.json,Q00000,0.05,0.8267245285350564,
claude,keyboard,ourdataset.json,Q00000,0.05,0.7782318902101903,
claude,keyboard,ourdataset.json,Q00000,0.05,0.7822347068132913,
claude,keyboard,ourdataset.json,Q00000,0.05,0.8267245285350564,
claude,keyboard,ourdataset.json,Q00000,0.05,0.6840187454593356,
claude,keyboard,ourdataset.json,Q00000,0.1,0.8438299009586476,
claude,keyboard,ourdataset.json,Q00000,0.1,0.7731332545814261,
claude,keyboard,ourdataset.json,Q00000,0.1,0.8267245285350564,
claude,keyboard,ourdataset.json,Q00000,0.1,0.7822347068132913,
claude,keyboard,ourdataset.json,Q00000,0.1,0.7822347068132913,
claude,keyboard,ourdataset.json,Q00000,0.15,0.815802259407118,
claude,keyboard,ourdataset.json,Q00000,0.15,0.8116134018078173,
claude,keyboard,ourdataset.json,Q00000,0.15,0.7731332545814261,
claude,keyboard,ourdataset.json,Q00000,0.15,0.775582352029161,
claude,keyboard,ourdataset.json,Q00000,0.15,0.6960066412847452,
claude,keyboard,ourdataset.json,Q00000,0.2,0.8267245285350564,0.9937950968742371
claude,keyboard,ourdataset.json,Q00000,0.2,0.7187036197108158,0.9880994558334351
claude,keyboard,ourdataset.json,Q00000,0.2,0.8219772426902251,0.9928411245346069
claude,keyboard,ourdataset.json,Q00000,0.2,0.8267245285350564,0.9916658401489258
claude,keyboard,ourdataset.json,Q00000,0.2,0.6793782383419689,0.9873436093330383
claude,keyboard,ourdataset.json,Q00000,0.25,0.2956573116691265,
claude,keyboard,ourdataset.json,Q00000,0.25,0.2954545454545434,
claude,keyboard,ourdataset.json,Q00000,0.25,0.3007894736842084,
claude,keyboard,ourdataset.json,Q00000,0.25,0.2881355932203391,
claude,keyboard,ourdataset.json,Q00000,0.25,0.313946360153254,
claude,keyboard,ourdataset.json,Q00000,0.3,0.7759863764523048,
claude,keyboard,ourdataset.json,Q00000,0.3,0.7759863764523048,
claude,keyboard,ourdataset.json,Q00000,0.3,0.788043103698973,
claude,keyboard,ourdataset.json,Q00000,0.3,0.7759863764523048,
claude,keyboard,ourdataset.json,Q00000,0.3,0.7759863764523048,
claude,keyboard,ourdataset.json,Q00000,0.35,0.7274906050102239,
claude,keyboard,ourdataset.json,Q00000,0.35,0.7568995764857301,
claude,keyboard,ourdataset.json,Q00000,0.35,0.7274906050102239,
claude,keyboard,ourdataset.json,Q00000,0.35,0.8267245285350564,
claude,keyboard,ourdataset.json,Q00000,0.35,0.7274906050102239,
claude,keyboard,ourdataset.json,Q00000,0.4,0.6055627692673899,0.9861354827880859
claude,keyboard,ourdataset.json,Q00000,0.4,0.6461635129154851,0.9870613813400269
claude,keyboard,ourdataset.json,Q00000,0.4,0.649403427599373,0.9877151250839233
claude,keyboard,ourdataset.json,Q00000,0.4,0.646478484318451,0.9861639738082886
claude,keyboard,ourdataset.json,Q00000,0.4,0.790281468441746,0.9912293553352356
claude,keyboard,ourdataset.json,Q00000,0.45,0.18281938658389496,
claude,keyboard,ourdataset.json,Q00000,0.45,0.25977819366785354,
claude,keyboard,ourdataset.json,Q00000,0.45,0.6862878418591294,
claude,keyboard,ourdataset.json,Q00000,0.45,0.3253551912568303,
claude,keyboard,ourdataset.json,Q00000,0.45,0.6862878418591294,
claude,keyboard,ourdataset.json,Q00000,0.5,0.20875327292989848,
claude,keyboard,ourdataset.json,Q00000,0.5,0.2808980035830217,
claude,keyboard,ourdataset.json,Q00000,0.5,0.2650410506390031,
claude,keyboard,ourdataset.json,Q00000,0.5,0.08339137848653957,
claude,keyboard,ourdataset.json,Q00000,0.5,0.22714478900391227,
claude,keyboard,ourdataset.json,Q00000,0.55,0.15823535011025253,
claude,keyboard,ourdataset.json,Q00000,0.55,0.17143117072436123,
claude,keyboard,ourdataset.json,Q00000,0.55,0.13961018942682038,
claude,keyboard,ourdataset.json,Q00000,0.55,0.1692844239958195,
claude,keyboard,ourdataset.json,Q00000,0.55,0.11933121540784472,
claude,keyboard,ourdataset.json,Q00000,0.6,0.2500960776088606,0.9667023420333862
claude,keyboard,ourdataset.json,Q00000,0.6,0.18401813649421783,0.9652992486953735
claude,keyboard,ourdataset.json,Q00000,0.6,0.04243358813647928,0.961065948009491
claude,keyboard,ourdataset.json,Q00000,0.6,0.15430463644205913,0.9677639007568359
claude,keyboard,ourdataset.json,Q00000,0.6,0.17393001881202833,0.9664074778556824
claude,keyboard,ourdataset.json,Q00000,0.65,0.18348671999783855,
claude,keyboard,ourdataset.json,Q00000,0.65,0.1692844239958195,
claude,keyboard,ourdataset.json,Q00000,0.65,0.1445817169009954,
claude,keyboard,ourdataset.json,Q00000,0.65,0.1560529206577559,
claude,keyboard,ourdataset.json,Q00000,0.65,0.1445817169009954,
claude,keyboard,ourdataset.json,Q00000,0.7,0.2008596057747682,
