model,method,dataset,task,augmentation_rate,tsed_score,bert_score
claude,paraphraser,ourdataset.json,Q00016,0.0,0.6127861174842962,0.9891471862792969
claude,paraphraser,ourdataset.json,Q00016,0.0,0.4956601607347878,0.9807522892951965
claude,paraphraser,ourdataset.json,Q00016,0.0,0.5934859054805686,0.9866010546684265
claude,paraphraser,ourdataset.json,Q00016,0.0,0.599649528878152,0.9892743825912476
claude,paraphraser,ourdataset.json,Q00016,0.0,0.5633066008886429,0.9881446957588196
claude,paraphraser,ourdataset.json,Q00016,0.25,0.46383808910035534,0.0
claude,paraphraser,ourdataset.json,Q00016,0.25,0.46875721297787265,0.0
claude,paraphraser,ourdataset.json,Q00016,0.25,0.43998403165839833,0.0
claude,paraphraser,ourdataset.json,Q00016,0.25,0.40584390625751404,0.0
claude,paraphraser,ourdataset.json,Q00016,0.25,0.4577028419899502,0.0
claude,paraphraser,ourdataset.json,Q00016,0.6,0.31368345217190974,0.9757555723190308
claude,paraphraser,ourdataset.json,Q00016,0.6,0.3507232455558546,0.9753221273422241
claude,paraphraser,ourdataset.json,Q00016,0.6,0.4652861391355465,0.9855429530143738
claude,paraphraser,ourdataset.json,Q00016,0.6,0.35839051503154074,0.9748843312263489
claude,paraphraser,ourdataset.json,Q00016,0.6,0.4932138928129384,0.984441876411438
claude,paraphraser,ourdataset.json,Q00016,0.9,0.4123414373967509,0.0
claude,paraphraser,ourdataset.json,Q00016,0.9,0.3480486559098048,0.0
claude,paraphraser,ourdataset.json,Q00016,0.9,0.35010752688172064,0.0
claude,paraphraser,ourdataset.json,Q00016,0.9,0.3296462545667353,0.0
claude,paraphraser,ourdataset.json,Q00016,0.9,0.3087052843910806,0.0
