model,method,dataset,task,augmentation_rate,tsed_score,bert_score
claude,synonym,oldleetcode.json,Q00013,0.0,1.0,0.9985864758491516
claude,synonym,oldleetcode.json,Q00013,0.0,1.0,
claude,synonym,oldleetcode.json,Q00013,0.0,1.0,
claude,synonym,oldleetcode.json,Q00013,0.0,1.0,
claude,synonym,oldleetcode.json,Q00013,0.0,1.0,
claude,synonym,oldleetcode.json,Q00013,0.05,1.0,
claude,synonym,oldleetcode.json,Q00013,0.05,1.0,
claude,synonym,oldleetcode.json,Q00013,0.05,1.0,
claude,synonym,oldleetcode.json,Q00013,0.05,1.0,
claude,synonym,oldleetcode.json,Q00013,0.05,1.0,
claude,synonym,oldleetcode.json,Q00013,0.1,1.0,
claude,synonym,oldleetcode.json,Q00013,0.1,1.0,
claude,synonym,oldleetcode.json,Q00013,0.1,1.0,
claude,synonym,oldleetcode.json,Q00013,0.1,1.0,
claude,synonym,oldleetcode.json,Q00013,0.1,1.0,
claude,synonym,oldleetcode.json,Q00013,0.15,1.0,
claude,synonym,oldleetcode.json,Q00013,0.15,1.0,
claude,synonym,oldleetcode.json,Q00013,0.15,1.0,
claude,synonym,oldleetcode.json,Q00013,0.15,1.0,
claude,synonym,oldleetcode.json,Q00013,0.15,1.0,
claude,synonym,oldleetcode.json,Q00013,0.2,1.0,0.9985864758491516
claude,synonym,oldleetcode.json,Q00013,0.2,1.0,
claude,synonym,oldleetcode.json,Q00013,0.2,1.0,
claude,synonym,oldleetcode.json,Q00013,0.2,1.0,
claude,synonym,oldleetcode.json,Q00013,0.2,1.0,
claude,synonym,oldleetcode.json,Q00013,0.25,1.0,
claude,synonym,oldleetcode.json,Q00013,0.25,0.5451612903225806,
claude,synonym,oldleetcode.json,Q00013,0.25,1.0,
claude,synonym,oldleetcode.json,Q00013,0.25,1.0,
claude,synonym,oldleetcode.json,Q00013,0.25,1.0,
claude,synonym,oldleetcode.json,Q00013,0.3,1.0,
claude,synonym,oldleetcode.json,Q00013,0.3,1.0,
claude,synonym,oldleetcode.json,Q00013,0.3,1.0,
claude,synonym,oldleetcode.json,Q00013,0.3,1.0,
claude,synonym,oldleetcode.json,Q00013,0.3,1.0,
claude,synonym,oldleetcode.json,Q00013,0.35,1.0,
claude,synonym,oldleetcode.json,Q00013,0.35,1.0,
claude,synonym,oldleetcode.json,Q00013,0.35,1.0,
claude,synonym,oldleetcode.json,Q00013,0.35,1.0,
claude,synonym,oldleetcode.json,Q00013,0.35,0.5096774193548387,
claude,synonym,oldleetcode.json,Q00013,0.4,0.39354838709677414,0.986231803894043
claude,synonym,oldleetcode.json,Q00013,0.4,0.4591549295774648,
claude,synonym,oldleetcode.json,Q00013,0.4,0.4591549295774648,
claude,synonym,oldleetcode.json,Q00013,0.4,0.3698630136986301,
claude,synonym,oldleetcode.json,Q00013,0.4,0.39354838709677414,
claude,synonym,oldleetcode.json,Q00013,0.45,1.0,
claude,synonym,oldleetcode.json,Q00013,0.45,0.967741935483871,
claude,synonym,oldleetcode.json,Q00013,0.45,1.0,
claude,synonym,oldleetcode.json,Q00013,0.45,1.0,
claude,synonym,oldleetcode.json,Q00013,0.45,1.0,
claude,synonym,oldleetcode.json,Q00013,0.5,0.2923076923076923,
claude,synonym,oldleetcode.json,Q00013,0.5,0.4104347826086957,
claude,synonym,oldleetcode.json,Q00013,0.5,0.3419354838709678,
claude,synonym,oldleetcode.json,Q00013,0.5,0.378048780487805,
claude,synonym,oldleetcode.json,Q00013,0.5,0.3870967741935484,
claude,synonym,oldleetcode.json,Q00013,0.55,1.0,
claude,synonym,oldleetcode.json,Q00013,0.55,1.0,
claude,synonym,oldleetcode.json,Q00013,0.55,1.0,
claude,synonym,oldleetcode.json,Q00013,0.55,1.0,
claude,synonym,oldleetcode.json,Q00013,0.55,0.6290322580645161,
claude,synonym,oldleetcode.json,Q00013,0.6,1.0,0.9967833757400513
claude,synonym,oldleetcode.json,Q00013,0.6,1.0,
claude,synonym,oldleetcode.json,Q00013,0.6,1.0,
claude,synonym,oldleetcode.json,Q00013,0.6,0.43636363636363634,
claude,synonym,oldleetcode.json,Q00013,0.6,1.0,
claude,synonym,oldleetcode.json,Q00013,0.65,1.0,
claude,synonym,oldleetcode.json,Q00013,0.65,1.0,
claude,synonym,oldleetcode.json,Q00013,0.65,1.0,
claude,synonym,oldleetcode.json,Q00013,0.65,1.0,
claude,synonym,oldleetcode.json,Q00013,0.65,1.0,
claude,synonym,oldleetcode.json,Q00013,0.7,0.8709677419354838,
claude,synonym,oldleetcode.json,Q00013,0.7,1.0,
claude,synonym,oldleetcode.json,Q00013,0.7,1.0,
claude,synonym,oldleetcode.json,Q00013,0.7,0.9096774193548388,
claude,synonym,oldleetcode.json,Q00013,0.7,0.8709677419354838,
claude,synonym,oldleetcode.json,Q00013,0.75,1.0,
claude,synonym,oldleetcode.json,Q00013,0.75,1.0,
claude,synonym,oldleetcode.json,Q00013,0.75,1.0,
claude,synonym,oldleetcode.json,Q00013,0.75,1.0,
claude,synonym,oldleetcode.json,Q00013,0.75,1.0,
claude,synonym,oldleetcode.json,Q00013,0.8,1.0,0.9967833757400513
claude,synonym,oldleetcode.json,Q00013,0.8,0.8709677419354838,
claude,synonym,oldleetcode.json,Q00013,0.8,1.0,
claude,synonym,oldleetcode.json,Q00013,0.8,1.0,
claude,synonym,oldleetcode.json,Q00013,0.8,1.0,
claude,synonym,oldleetcode.json,Q00013,0.85,1.0,
claude,synonym,oldleetcode.json,Q00013,0.85,0.6290322580645161,
claude,synonym,oldleetcode.json,Q00013,0.85,0.6290322580645161,
claude,synonym,oldleetcode.json,Q00013,0.85,1.0,
claude,synonym,oldleetcode.json,Q00013,0.85,0.6290322580645161,
claude,synonym,oldleetcode.json,Q00013,0.9,0.6084507042253521,
claude,synonym,oldleetcode.json,Q00013,0.9,0.9096774193548388,
claude,synonym,oldleetcode.json,Q00013,0.9,1.0,
claude,synonym,oldleetcode.json,Q00013,0.9,0.9419354838709676,
claude,synonym,oldleetcode.json,Q00013,0.9,0.4507462686567167,
claude,synonym,oldleetcode.json,Q00013,0.95,1.0,
claude,synonym,oldleetcode.json,Q00013,0.95,1.0,
claude,synonym,oldleetcode.json,Q00013,0.95,1.0,
claude,synonym,oldleetcode.json,Q00013,0.95,1.0,
claude,synonym,oldleetcode.json,Q00013,0.95,1.0,
claude,synonym,oldleetcode.json,Q00013,1.0,1.0,0.9968193769454956
claude,synonym,oldleetcode.json,Q00013,1.0,1.0,
claude,synonym,oldleetcode.json,Q00013,1.0,1.0,
claude,synonym,oldleetcode.json,Q00013,1.0,1.0,
claude,synonym,oldleetcode.json,Q00013,1.0,1.0,
