model,method,dataset,task,augmentation_rate,tsed_score,bert_score
claude,synonym,ourdataset.json,Q00020,0.0,0.4614998777609543,0.9781200289726257
claude,synonym,ourdataset.json,Q00020,0.0,,
claude,synonym,ourdataset.json,Q00020,0.0,,
claude,synonym,ourdataset.json,Q00020,0.0,,
claude,synonym,ourdataset.json,Q00020,0.0,,
claude,synonym,ourdataset.json,Q00020,0.05,,
claude,synonym,ourdataset.json,Q00020,0.05,,
claude,synonym,ourdataset.json,Q00020,0.05,,
claude,synonym,ourdataset.json,Q00020,0.05,,
claude,synonym,ourdataset.json,Q00020,0.05,,
claude,synonym,ourdataset.json,Q00020,0.1,,
claude,synonym,ourdataset.json,Q00020,0.1,,
claude,synonym,ourdataset.json,Q00020,0.1,,
claude,synonym,ourdataset.json,Q00020,0.1,,
claude,synonym,ourdataset.json,Q00020,0.1,,
claude,synonym,ourdataset.json,Q00020,0.15,,
claude,synonym,ourdataset.json,Q00020,0.15,,
claude,synonym,ourdataset.json,Q00020,0.15,,
claude,synonym,ourdataset.json,Q00020,0.15,,
claude,synonym,ourdataset.json,Q00020,0.15,,
claude,synonym,ourdataset.json,Q00020,0.2,0.2769778333056181,0.9471185803413391
claude,synonym,ourdataset.json,Q00020,0.2,,
claude,synonym,ourdataset.json,Q00020,0.2,,
claude,synonym,ourdataset.json,Q00020,0.2,,
claude,synonym,ourdataset.json,Q00020,0.2,,
claude,synonym,ourdataset.json,Q00020,0.25,,
claude,synonym,ourdataset.json,Q00020,0.25,,
claude,synonym,ourdataset.json,Q00020,0.25,,
claude,synonym,ourdataset.json,Q00020,0.25,,
claude,synonym,ourdataset.json,Q00020,0.25,,
claude,synonym,ourdataset.json,Q00020,0.3,,
claude,synonym,ourdataset.json,Q00020,0.3,,
claude,synonym,ourdataset.json,Q00020,0.3,,
claude,synonym,ourdataset.json,Q00020,0.3,,
claude,synonym,ourdataset.json,Q00020,0.3,,
claude,synonym,ourdataset.json,Q00020,0.35,,
claude,synonym,ourdataset.json,Q00020,0.35,,
claude,synonym,ourdataset.json,Q00020,0.35,,
claude,synonym,ourdataset.json,Q00020,0.35,,
claude,synonym,ourdataset.json,Q00020,0.35,,
claude,synonym,ourdataset.json,Q00020,0.4,0.4805684412361829,0.9686843752861023
claude,synonym,ourdataset.json,Q00020,0.4,,
claude,synonym,ourdataset.json,Q00020,0.4,,
claude,synonym,ourdataset.json,Q00020,0.4,,
claude,synonym,ourdataset.json,Q00020,0.4,,
claude,synonym,ourdataset.json,Q00020,0.45,,
claude,synonym,ourdataset.json,Q00020,0.45,,
claude,synonym,ourdataset.json,Q00020,0.45,,
claude,synonym,ourdataset.json,Q00020,0.45,,
claude,synonym,ourdataset.json,Q00020,0.45,,
claude,synonym,ourdataset.json,Q00020,0.5,,
claude,synonym,ourdataset.json,Q00020,0.5,,
claude,synonym,ourdataset.json,Q00020,0.5,,
claude,synonym,ourdataset.json,Q00020,0.5,,
claude,synonym,ourdataset.json,Q00020,0.5,,
claude,synonym,ourdataset.json,Q00020,0.55,,
claude,synonym,ourdataset.json,Q00020,0.55,,
claude,synonym,ourdataset.json,Q00020,0.55,,
claude,synonym,ourdataset.json,Q00020,0.55,,
claude,synonym,ourdataset.json,Q00020,0.55,,
