model,method,dataset,task,augmentation_rate,tsed_score,bert_score
deepseek,keyboard,newleetcode.json,Q00003,0.0,0.5958577986902127,0.9878710508346558
deepseek,keyboard,newleetcode.json,Q00003,0.0,,
deepseek,keyboard,newleetcode.json,Q00003,0.0,,
deepseek,keyboard,newleetcode.json,Q00003,0.0,,
deepseek,keyboard,newleetcode.json,Q00003,0.0,,
deepseek,keyboard,newleetcode.json,Q00003,0.05,,
deepseek,keyboard,newleetcode.json,Q00003,0.05,,
deepseek,keyboard,newleetcode.json,Q00003,0.05,,
deepseek,keyboard,newleetcode.json,Q00003,0.05,,
deepseek,keyboard,newleetcode.json,Q00003,0.05,,
deepseek,keyboard,newleetcode.json,Q00003,0.1,,
deepseek,keyboard,newleetcode.json,Q00003,0.1,,
deepseek,keyboard,newleetcode.json,Q00003,0.1,,
deepseek,keyboard,newleetcode.json,Q00003,0.1,,
deepseek,keyboard,newleetcode.json,Q00003,0.1,,
deepseek,keyboard,newleetcode.json,Q00003,0.15,,
deepseek,keyboard,newleetcode.json,Q00003,0.15,,
deepseek,keyboard,newleetcode.json,Q00003,0.15,,
deepseek,keyboard,newleetcode.json,Q00003,0.15,,
deepseek,keyboard,newleetcode.json,Q00003,0.15,,
deepseek,keyboard,newleetcode.json,Q00003,0.2,0.5881018799272286,0.9876128435134888
deepseek,keyboard,newleetcode.json,Q00003,0.2,,
deepseek,keyboard,newleetcode.json,Q00003,0.2,,
deepseek,keyboard,newleetcode.json,Q00003,0.2,,
deepseek,keyboard,newleetcode.json,Q00003,0.2,,
deepseek,keyboard,newleetcode.json,Q00003,0.25,,
deepseek,keyboard,newleetcode.json,Q00003,0.25,,
deepseek,keyboard,newleetcode.json,Q00003,0.25,,
deepseek,keyboard,newleetcode.json,Q00003,0.25,,
deepseek,keyboard,newleetcode.json,Q00003,0.25,,
deepseek,keyboard,newleetcode.json,Q00003,0.3,,
deepseek,keyboard,newleetcode.json,Q00003,0.3,,
deepseek,keyboard,newleetcode.json,Q00003,0.3,,
deepseek,keyboard,newleetcode.json,Q00003,0.3,,
deepseek,keyboard,newleetcode.json,Q00003,0.3,,
deepseek,keyboard,newleetcode.json,Q00003,0.35,,
deepseek,keyboard,newleetcode.json,Q00003,0.35,,
deepseek,keyboard,newleetcode.json,Q00003,0.35,,
deepseek,keyboard,newleetcode.json,Q00003,0.35,,
deepseek,keyboard,newleetcode.json,Q00003,0.35,,
