model,method,dataset,task,augmentation_rate,tsed_score,bert_score
deepseek,keyboard,oldleetcode.json,Q00011,0.0,,
deepseek,keyboard,oldleetcode.json,Q00011,0.0,,
deepseek,keyboard,oldleetcode.json,Q00011,0.0,,
deepseek,keyboard,oldleetcode.json,Q00011,0.0,,
deepseek,keyboard,oldleetcode.json,Q00011,0.0,,
deepseek,keyboard,oldleetcode.json,Q00011,0.05,,
deepseek,keyboard,oldleetcode.json,Q00011,0.05,,
deepseek,keyboard,oldleetcode.json,Q00011,0.05,,
deepseek,keyboard,oldleetcode.json,Q00011,0.05,,
deepseek,keyboard,oldleetcode.json,Q00011,0.05,,
deepseek,keyboard,oldleetcode.json,Q00011,0.1,,
deepseek,keyboard,oldleetcode.json,Q00011,0.1,,
deepseek,keyboard,oldleetcode.json,Q00011,0.1,,
deepseek,keyboard,oldleetcode.json,Q00011,0.1,,
deepseek,keyboard,oldleetcode.json,Q00011,0.1,,
deepseek,keyboard,oldleetcode.json,Q00011,0.15,,
deepseek,keyboard,oldleetcode.json,Q00011,0.15,,
deepseek,keyboard,oldleetcode.json,Q00011,0.15,,
deepseek,keyboard,oldleetcode.json,Q00011,0.15,,
deepseek,keyboard,oldleetcode.json,Q00011,0.15,,
deepseek,keyboard,oldleetcode.json,Q00011,0.2,,
deepseek,keyboard,oldleetcode.json,Q00011,0.2,,
deepseek,keyboard,oldleetcode.json,Q00011,0.2,,
deepseek,keyboard,oldleetcode.json,Q00011,0.2,,
deepseek,keyboard,oldleetcode.json,Q00011,0.2,,
deepseek,keyboard,oldleetcode.json,Q00011,0.25,,
deepseek,keyboard,oldleetcode.json,Q00011,0.25,,
deepseek,keyboard,oldleetcode.json,Q00011,0.25,,
deepseek,keyboard,oldleetcode.json,Q00011,0.25,,
deepseek,keyboard,oldleetcode.json,Q00011,0.25,,
deepseek,keyboard,oldleetcode.json,Q00011,0.3,,
deepseek,keyboard,oldleetcode.json,Q00011,0.3,,
deepseek,keyboard,oldleetcode.json,Q00011,0.3,,
deepseek,keyboard,oldleetcode.json,Q00011,0.3,,
deepseek,keyboard,oldleetcode.json,Q00011,0.3,,
deepseek,keyboard,oldleetcode.json,Q00011,0.35,,
deepseek,keyboard,oldleetcode.json,Q00011,0.35,,
deepseek,keyboard,oldleetcode.json,Q00011,0.35,,
deepseek,keyboard,oldleetcode.json,Q00011,0.35,,
deepseek,keyboard,oldleetcode.json,Q00011,0.35,,
deepseek,keyboard,oldleetcode.json,Q00011,0.4,,
deepseek,keyboard,oldleetcode.json,Q00011,0.4,,
deepseek,keyboard,oldleetcode.json,Q00011,0.4,,
deepseek,keyboard,oldleetcode.json,Q00011,0.4,,
deepseek,keyboard,oldleetcode.json,Q00011,0.4,,
deepseek,keyboard,oldleetcode.json,Q00011,0.45,,
deepseek,keyboard,oldleetcode.json,Q00011,0.45,,
deepseek,keyboard,oldleetcode.json,Q00011,0.45,,
deepseek,keyboard,oldleetcode.json,Q00011,0.45,,
deepseek,keyboard,oldleetcode.json,Q00011,0.45,,
deepseek,keyboard,oldleetcode.json,Q00011,0.5,,
deepseek,keyboard,oldleetcode.json,Q00011,0.5,,
deepseek,keyboard,oldleetcode.json,Q00011,0.5,,
deepseek,keyboard,oldleetcode.json,Q00011,0.5,,
deepseek,keyboard,oldleetcode.json,Q00011,0.5,,
deepseek,keyboard,oldleetcode.json,Q00011,0.55,,
deepseek,keyboard,oldleetcode.json,Q00011,0.55,,
deepseek,keyboard,oldleetcode.json,Q00011,0.55,,
deepseek,keyboard,oldleetcode.json,Q00011,0.55,,
deepseek,keyboard,oldleetcode.json,Q00011,0.55,,
deepseek,keyboard,oldleetcode.json,Q00011,0.6,,
deepseek,keyboard,oldleetcode.json,Q00011,0.6,,
deepseek,keyboard,oldleetcode.json,Q00011,0.6,,
deepseek,keyboard,oldleetcode.json,Q00011,0.6,,
deepseek,keyboard,oldleetcode.json,Q00011,0.6,,
deepseek,keyboard,oldleetcode.json,Q00011,0.65,,
deepseek,keyboard,oldleetcode.json,Q00011,0.65,,
deepseek,keyboard,oldleetcode.json,Q00011,0.65,,
deepseek,keyboard,oldleetcode.json,Q00011,0.65,,
deepseek,keyboard,oldleetcode.json,Q00011,0.65,,
deepseek,keyboard,oldleetcode.json,Q00011,0.7,,
deepseek,keyboard,oldleetcode.json,Q00011,0.7,,
deepseek,keyboard,oldleetcode.json,Q00011,0.7,,
deepseek,keyboard,oldleetcode.json,Q00011,0.7,,
deepseek,keyboard,oldleetcode.json,Q00011,0.7,,
deepseek,keyboard,oldleetcode.json,Q00011,0.75,,
deepseek,keyboard,oldleetcode.json,Q00011,0.75,,
deepseek,keyboard,oldleetcode.json,Q00011,0.75,,
deepseek,keyboard,oldleetcode.json,Q00011,0.75,,
deepseek,keyboard,oldleetcode.json,Q00011,0.75,,
deepseek,keyboard,oldleetcode.json,Q00011,0.8,,
deepseek,keyboard,oldleetcode.json,Q00011,0.8,,
deepseek,keyboard,oldleetcode.json,Q00011,0.8,,
deepseek,keyboard,oldleetcode.json,Q00011,0.8,,
deepseek,keyboard,oldleetcode.json,Q00011,0.8,,
deepseek,keyboard,oldleetcode.json,Q00011,0.85,,
deepseek,keyboard,oldleetcode.json,Q00011,0.85,,
deepseek,keyboard,oldleetcode.json,Q00011,0.85,,
deepseek,keyboard,oldleetcode.json,Q00011,0.85,,
deepseek,keyboard,oldleetcode.json,Q00011,0.85,,
deepseek,keyboard,oldleetcode.json,Q00011,0.9,,
deepseek,keyboard,oldleetcode.json,Q00011,0.9,,
deepseek,keyboard,oldleetcode.json,Q00011,0.9,,
deepseek,keyboard,oldleetcode.json,Q00011,0.9,,
deepseek,keyboard,oldleetcode.json,Q00011,0.9,,
deepseek,keyboard,oldleetcode.json,Q00011,0.95,,
deepseek,keyboard,oldleetcode.json,Q00011,0.95,,
deepseek,keyboard,oldleetcode.json,Q00011,0.95,,
deepseek,keyboard,oldleetcode.json,Q00011,0.95,,
deepseek,keyboard,oldleetcode.json,Q00011,0.95,,
deepseek,keyboard,oldleetcode.json,Q00011,1.0,,
deepseek,keyboard,oldleetcode.json,Q00011,1.0,,
deepseek,keyboard,oldleetcode.json,Q00011,1.0,,
deepseek,keyboard,oldleetcode.json,Q00011,1.0,,
deepseek,keyboard,oldleetcode.json,Q00011,1.0,,
