model,method,dataset,task,augmentation_rate,tsed_score,bert_score
deepseek,keyboard,ourdataset.json,Q00002,0.0,,
deepseek,keyboard,ourdataset.json,Q00002,0.0,,
deepseek,keyboard,ourdataset.json,Q00002,0.0,,
deepseek,keyboard,ourdataset.json,Q00002,0.0,,
deepseek,keyboard,ourdataset.json,Q00002,0.0,,
deepseek,keyboard,ourdataset.json,Q00002,0.05,,
deepseek,keyboard,ourdataset.json,Q00002,0.05,,
deepseek,keyboard,ourdataset.json,Q00002,0.05,,
deepseek,keyboard,ourdataset.json,Q00002,0.05,,
deepseek,keyboard,ourdataset.json,Q00002,0.05,,
deepseek,keyboard,ourdataset.json,Q00002,0.1,,
deepseek,keyboard,ourdataset.json,Q00002,0.1,,
deepseek,keyboard,ourdataset.json,Q00002,0.1,,
deepseek,keyboard,ourdataset.json,Q00002,0.1,,
deepseek,keyboard,ourdataset.json,Q00002,0.1,,
deepseek,keyboard,ourdataset.json,Q00002,0.15,,
deepseek,keyboard,ourdataset.json,Q00002,0.15,,
deepseek,keyboard,ourdataset.json,Q00002,0.15,,
deepseek,keyboard,ourdataset.json,Q00002,0.15,,
deepseek,keyboard,ourdataset.json,Q00002,0.15,,
deepseek,keyboard,ourdataset.json,Q00002,0.2,,
deepseek,keyboard,ourdataset.json,Q00002,0.2,,
deepseek,keyboard,ourdataset.json,Q00002,0.2,,
deepseek,keyboard,ourdataset.json,Q00002,0.2,,
deepseek,keyboard,ourdataset.json,Q00002,0.2,,
deepseek,keyboard,ourdataset.json,Q00002,0.25,,
deepseek,keyboard,ourdataset.json,Q00002,0.25,,
deepseek,keyboard,ourdataset.json,Q00002,0.25,,
deepseek,keyboard,ourdataset.json,Q00002,0.25,,
deepseek,keyboard,ourdataset.json,Q00002,0.25,,
deepseek,keyboard,ourdataset.json,Q00002,0.3,,
deepseek,keyboard,ourdataset.json,Q00002,0.3,,
deepseek,keyboard,ourdataset.json,Q00002,0.3,,
deepseek,keyboard,ourdataset.json,Q00002,0.3,,
deepseek,keyboard,ourdataset.json,Q00002,0.3,,
deepseek,keyboard,ourdataset.json,Q00002,0.35,,
deepseek,keyboard,ourdataset.json,Q00002,0.35,,
deepseek,keyboard,ourdataset.json,Q00002,0.35,,
deepseek,keyboard,ourdataset.json,Q00002,0.35,,
deepseek,keyboard,ourdataset.json,Q00002,0.35,,
deepseek,keyboard,ourdataset.json,Q00002,0.4,,
deepseek,keyboard,ourdataset.json,Q00002,0.4,,
deepseek,keyboard,ourdataset.json,Q00002,0.4,,
deepseek,keyboard,ourdataset.json,Q00002,0.4,,
deepseek,keyboard,ourdataset.json,Q00002,0.4,,
deepseek,keyboard,ourdataset.json,Q00002,0.45,,
deepseek,keyboard,ourdataset.json,Q00002,0.45,,
deepseek,keyboard,ourdataset.json,Q00002,0.45,,
deepseek,keyboard,ourdataset.json,Q00002,0.45,,
deepseek,keyboard,ourdataset.json,Q00002,0.45,,
deepseek,keyboard,ourdataset.json,Q00002,0.5,,
deepseek,keyboard,ourdataset.json,Q00002,0.5,,
deepseek,keyboard,ourdataset.json,Q00002,0.5,,
deepseek,keyboard,ourdataset.json,Q00002,0.5,,
deepseek,keyboard,ourdataset.json,Q00002,0.5,,
deepseek,keyboard,ourdataset.json,Q00002,0.55,,
deepseek,keyboard,ourdataset.json,Q00002,0.55,,
deepseek,keyboard,ourdataset.json,Q00002,0.55,,
deepseek,keyboard,ourdataset.json,Q00002,0.55,,
deepseek,keyboard,ourdataset.json,Q00002,0.55,,
deepseek,keyboard,ourdataset.json,Q00002,0.6,,
deepseek,keyboard,ourdataset.json,Q00002,0.6,,
deepseek,keyboard,ourdataset.json,Q00002,0.6,,
deepseek,keyboard,ourdataset.json,Q00002,0.6,,
deepseek,keyboard,ourdataset.json,Q00002,0.6,,
deepseek,keyboard,ourdataset.json,Q00002,0.65,,
deepseek,keyboard,ourdataset.json,Q00002,0.65,,
deepseek,keyboard,ourdataset.json,Q00002,0.65,,
deepseek,keyboard,ourdataset.json,Q00002,0.65,,
deepseek,keyboard,ourdataset.json,Q00002,0.65,,
deepseek,keyboard,ourdataset.json,Q00002,0.7,,
deepseek,keyboard,ourdataset.json,Q00002,0.7,,
deepseek,keyboard,ourdataset.json,Q00002,0.7,,
deepseek,keyboard,ourdataset.json,Q00002,0.7,,
deepseek,keyboard,ourdataset.json,Q00002,0.7,,
deepseek,keyboard,ourdataset.json,Q00002,0.75,,
deepseek,keyboard,ourdataset.json,Q00002,0.75,,
deepseek,keyboard,ourdataset.json,Q00002,0.75,,
deepseek,keyboard,ourdataset.json,Q00002,0.75,,
deepseek,keyboard,ourdataset.json,Q00002,0.75,,
deepseek,keyboard,ourdataset.json,Q00002,0.8,,
deepseek,keyboard,ourdataset.json,Q00002,0.8,,
deepseek,keyboard,ourdataset.json,Q00002,0.8,,
deepseek,keyboard,ourdataset.json,Q00002,0.8,,
deepseek,keyboard,ourdataset.json,Q00002,0.8,,
deepseek,keyboard,ourdataset.json,Q00002,0.85,,
deepseek,keyboard,ourdataset.json,Q00002,0.85,,
deepseek,keyboard,ourdataset.json,Q00002,0.85,,
deepseek,keyboard,ourdataset.json,Q00002,0.85,,
deepseek,keyboard,ourdataset.json,Q00002,0.85,,
deepseek,keyboard,ourdataset.json,Q00002,0.9,,
deepseek,keyboard,ourdataset.json,Q00002,0.9,,
deepseek,keyboard,ourdataset.json,Q00002,0.9,,
deepseek,keyboard,ourdataset.json,Q00002,0.9,,
deepseek,keyboard,ourdataset.json,Q00002,0.9,,
deepseek,keyboard,ourdataset.json,Q00002,0.95,,
deepseek,keyboard,ourdataset.json,Q00002,0.95,,
deepseek,keyboard,ourdataset.json,Q00002,0.95,,
deepseek,keyboard,ourdataset.json,Q00002,0.95,,
deepseek,keyboard,ourdataset.json,Q00002,0.95,,
deepseek,keyboard,ourdataset.json,Q00002,1.0,,
deepseek,keyboard,ourdataset.json,Q00002,1.0,,
deepseek,keyboard,ourdataset.json,Q00002,1.0,,
deepseek,keyboard,ourdataset.json,Q00002,1.0,,
deepseek,keyboard,ourdataset.json,Q00002,1.0,,
