model,method,dataset,task,augmentation_rate,tsed_score,bert_score
deepseek,paraphraser,ourdataset.json,Q00000,0.0,0.8386078733682805,0.9913119077682495
deepseek,paraphraser,ourdataset.json,Q00000,0.0,0.869987548581293,0.9928549528121948
deepseek,paraphraser,ourdataset.json,Q00000,0.0,0.7412765957446806,0.9902780652046204
deepseek,paraphraser,ourdataset.json,Q00000,0.0,0.871836942895818,0.9920539855957031
deepseek,paraphraser,ourdataset.json,Q00000,0.0,0.8383711836705328,0.9912773370742798
deepseek,paraphraser,ourdataset.json,Q00000,0.25,,
deepseek,paraphraser,ourdataset.json,Q00000,0.25,,
deepseek,paraphraser,ourdataset.json,Q00000,0.25,,
deepseek,paraphraser,ourdataset.json,Q00000,0.25,,
deepseek,paraphraser,ourdataset.json,Q00000,0.25,,
deepseek,paraphraser,ourdataset.json,Q00000,0.6,0.8437086748420614,0.9915461540222168
deepseek,paraphraser,ourdataset.json,Q00000,0.6,,
deepseek,paraphraser,ourdataset.json,Q00000,0.6,0.8405503409362647,0.9917178153991699
deepseek,paraphraser,ourdataset.json,Q00000,0.6,0.8405503409362647,0.9917392730712891
deepseek,paraphraser,ourdataset.json,Q00000,0.6,0.8437086748420614,0.9915461540222168
deepseek,paraphraser,ourdataset.json,Q00000,0.9,,
deepseek,paraphraser,ourdataset.json,Q00000,0.9,,
deepseek,paraphraser,ourdataset.json,Q00000,0.9,,
deepseek,paraphraser,ourdataset.json,Q00000,0.9,,
deepseek,paraphraser,ourdataset.json,Q00000,0.9,,
