model,method,dataset,task,augmentation_rate,tsed_score,bert_score
deepseek,synonym,ourdataset.json,Q00013,0.0,,
deepseek,synonym,ourdataset.json,Q00013,0.0,,
deepseek,synonym,ourdataset.json,Q00013,0.0,,
deepseek,synonym,ourdataset.json,Q00013,0.0,,
deepseek,synonym,ourdataset.json,Q00013,0.0,,
deepseek,synonym,ourdataset.json,Q00013,0.05,,
deepseek,synonym,ourdataset.json,Q00013,0.05,,
deepseek,synonym,ourdataset.json,Q00013,0.05,,
deepseek,synonym,ourdataset.json,Q00013,0.05,,
deepseek,synonym,ourdataset.json,Q00013,0.05,,
deepseek,synonym,ourdataset.json,Q00013,0.1,,
deepseek,synonym,ourdataset.json,Q00013,0.1,,
deepseek,synonym,ourdataset.json,Q00013,0.1,,
deepseek,synonym,ourdataset.json,Q00013,0.1,,
deepseek,synonym,ourdataset.json,Q00013,0.1,,
deepseek,synonym,ourdataset.json,Q00013,0.15,,
deepseek,synonym,ourdataset.json,Q00013,0.15,,
deepseek,synonym,ourdataset.json,Q00013,0.15,,
deepseek,synonym,ourdataset.json,Q00013,0.15,,
deepseek,synonym,ourdataset.json,Q00013,0.15,,
deepseek,synonym,ourdataset.json,Q00013,0.2,,
deepseek,synonym,ourdataset.json,Q00013,0.2,,
deepseek,synonym,ourdataset.json,Q00013,0.2,,
deepseek,synonym,ourdataset.json,Q00013,0.2,,
deepseek,synonym,ourdataset.json,Q00013,0.2,,
deepseek,synonym,ourdataset.json,Q00013,0.25,,
deepseek,synonym,ourdataset.json,Q00013,0.25,,
deepseek,synonym,ourdataset.json,Q00013,0.25,,
deepseek,synonym,ourdataset.json,Q00013,0.25,,
deepseek,synonym,ourdataset.json,Q00013,0.25,,
deepseek,synonym,ourdataset.json,Q00013,0.3,,
deepseek,synonym,ourdataset.json,Q00013,0.3,,
deepseek,synonym,ourdataset.json,Q00013,0.3,,
deepseek,synonym,ourdataset.json,Q00013,0.3,,
deepseek,synonym,ourdataset.json,Q00013,0.3,,
deepseek,synonym,ourdataset.json,Q00013,0.35,,
deepseek,synonym,ourdataset.json,Q00013,0.35,,
deepseek,synonym,ourdataset.json,Q00013,0.35,,
deepseek,synonym,ourdataset.json,Q00013,0.35,,
deepseek,synonym,ourdataset.json,Q00013,0.35,,
deepseek,synonym,ourdataset.json,Q00013,0.4,,
deepseek,synonym,ourdataset.json,Q00013,0.4,,
deepseek,synonym,ourdataset.json,Q00013,0.4,,
deepseek,synonym,ourdataset.json,Q00013,0.4,,
deepseek,synonym,ourdataset.json,Q00013,0.4,,
deepseek,synonym,ourdataset.json,Q00013,0.45,,
deepseek,synonym,ourdataset.json,Q00013,0.45,,
deepseek,synonym,ourdataset.json,Q00013,0.45,,
deepseek,synonym,ourdataset.json,Q00013,0.45,,
deepseek,synonym,ourdataset.json,Q00013,0.45,,
deepseek,synonym,ourdataset.json,Q00013,0.5,,
deepseek,synonym,ourdataset.json,Q00013,0.5,,
deepseek,synonym,ourdataset.json,Q00013,0.5,,
deepseek,synonym,ourdataset.json,Q00013,0.5,,
deepseek,synonym,ourdataset.json,Q00013,0.5,,
deepseek,synonym,ourdataset.json,Q00013,0.55,,
deepseek,synonym,ourdataset.json,Q00013,0.55,,
deepseek,synonym,ourdataset.json,Q00013,0.55,,
deepseek,synonym,ourdataset.json,Q00013,0.55,,
deepseek,synonym,ourdataset.json,Q00013,0.55,,
deepseek,synonym,ourdataset.json,Q00013,0.6,,
deepseek,synonym,ourdataset.json,Q00013,0.6,,
deepseek,synonym,ourdataset.json,Q00013,0.6,,
deepseek,synonym,ourdataset.json,Q00013,0.6,,
deepseek,synonym,ourdataset.json,Q00013,0.6,,
deepseek,synonym,ourdataset.json,Q00013,0.65,,
deepseek,synonym,ourdataset.json,Q00013,0.65,,
deepseek,synonym,ourdataset.json,Q00013,0.65,,
deepseek,synonym,ourdataset.json,Q00013,0.65,,
deepseek,synonym,ourdataset.json,Q00013,0.65,,
deepseek,synonym,ourdataset.json,Q00013,0.7,,
deepseek,synonym,ourdataset.json,Q00013,0.7,,
deepseek,synonym,ourdataset.json,Q00013,0.7,,
deepseek,synonym,ourdataset.json,Q00013,0.7,,
deepseek,synonym,ourdataset.json,Q00013,0.7,,
deepseek,synonym,ourdataset.json,Q00013,0.75,,
deepseek,synonym,ourdataset.json,Q00013,0.75,,
deepseek,synonym,ourdataset.json,Q00013,0.75,,
deepseek,synonym,ourdataset.json,Q00013,0.75,,
deepseek,synonym,ourdataset.json,Q00013,0.75,,
deepseek,synonym,ourdataset.json,Q00013,0.8,,
deepseek,synonym,ourdataset.json,Q00013,0.8,,
deepseek,synonym,ourdataset.json,Q00013,0.8,,
deepseek,synonym,ourdataset.json,Q00013,0.8,,
deepseek,synonym,ourdataset.json,Q00013,0.8,,
deepseek,synonym,ourdataset.json,Q00013,0.85,,
deepseek,synonym,ourdataset.json,Q00013,0.85,,
deepseek,synonym,ourdataset.json,Q00013,0.85,,
deepseek,synonym,ourdataset.json,Q00013,0.85,,
deepseek,synonym,ourdataset.json,Q00013,0.85,,
deepseek,synonym,ourdataset.json,Q00013,0.9,,
deepseek,synonym,ourdataset.json,Q00013,0.9,,
deepseek,synonym,ourdataset.json,Q00013,0.9,,
deepseek,synonym,ourdataset.json,Q00013,0.9,,
deepseek,synonym,ourdataset.json,Q00013,0.9,,
deepseek,synonym,ourdataset.json,Q00013,0.95,,
deepseek,synonym,ourdataset.json,Q00013,0.95,,
deepseek,synonym,ourdataset.json,Q00013,0.95,,
deepseek,synonym,ourdataset.json,Q00013,0.95,,
deepseek,synonym,ourdataset.json,Q00013,0.95,,
deepseek,synonym,ourdataset.json,Q00013,1.0,,
deepseek,synonym,ourdataset.json,Q00013,1.0,,
deepseek,synonym,ourdataset.json,Q00013,1.0,,
deepseek,synonym,ourdataset.json,Q00013,1.0,,
deepseek,synonym,ourdataset.json,Q00013,1.0,,
