model,method,dataset,task,augmentation_rate,tsed_score,bert_score
gemini,keyboard,newleetcode.json,Q00015,0.0,0.8340669856459331,0.9970778226852417
gemini,keyboard,newleetcode.json,Q00015,0.0,0.90622009569378,0.9980518221855164
gemini,keyboard,newleetcode.json,Q00015,0.0,0.90622009569378,0.9980518221855164
gemini,keyboard,newleetcode.json,Q00015,0.0,0.8340669856459331,0.9970778226852417
gemini,keyboard,newleetcode.json,Q00015,0.0,0.90622009569378,0.9980518221855164
gemini,keyboard,newleetcode.json,Q00015,0.05,,
gemini,keyboard,newleetcode.json,Q00015,0.05,,
gemini,keyboard,newleetcode.json,Q00015,0.05,,
gemini,keyboard,newleetcode.json,Q00015,0.05,,
gemini,keyboard,newleetcode.json,Q00015,0.05,,
gemini,keyboard,newleetcode.json,Q00015,0.1,0.6004720893141947,0.9917887449264526
gemini,keyboard,newleetcode.json,Q00015,0.1,0.6004720893141947,0.9917887449264526
gemini,keyboard,newleetcode.json,Q00015,0.1,0.5463732057416267,0.9905411601066589
gemini,keyboard,newleetcode.json,Q00015,0.1,0.6004720893141947,0.9917887449264526
gemini,keyboard,newleetcode.json,Q00015,0.1,0.6004720893141947,0.9917887449264526
gemini,keyboard,newleetcode.json,Q00015,0.15,,
gemini,keyboard,newleetcode.json,Q00015,0.15,,
gemini,keyboard,newleetcode.json,Q00015,0.15,,
gemini,keyboard,newleetcode.json,Q00015,0.15,,
gemini,keyboard,newleetcode.json,Q00015,0.15,,
gemini,keyboard,newleetcode.json,Q00015,0.2,0.5782328548644338,0.9903564453125
gemini,keyboard,newleetcode.json,Q00015,0.2,0.5782328548644338,0.9903564453125
gemini,keyboard,newleetcode.json,Q00015,0.2,0.5782328548644338,0.9903564453125
gemini,keyboard,newleetcode.json,Q00015,0.2,0.5782328548644338,0.9903564453125
gemini,keyboard,newleetcode.json,Q00015,0.2,0.5782328548644338,0.9903564453125
gemini,keyboard,newleetcode.json,Q00015,0.25,,
gemini,keyboard,newleetcode.json,Q00015,0.25,,
gemini,keyboard,newleetcode.json,Q00015,0.25,,
gemini,keyboard,newleetcode.json,Q00015,0.25,,
gemini,keyboard,newleetcode.json,Q00015,0.25,,
gemini,keyboard,newleetcode.json,Q00015,0.3,0.5357830940988835,0.990134060382843
gemini,keyboard,newleetcode.json,Q00015,0.3,0.5782328548644338,0.9900919795036316
gemini,keyboard,newleetcode.json,Q00015,0.3,0.5357830940988835,0.990134060382843
gemini,keyboard,newleetcode.json,Q00015,0.3,0.5782328548644338,0.9900919795036316
gemini,keyboard,newleetcode.json,Q00015,0.3,0.5357830940988835,0.990134060382843
gemini,keyboard,newleetcode.json,Q00015,0.35,,
gemini,keyboard,newleetcode.json,Q00015,0.35,,
gemini,keyboard,newleetcode.json,Q00015,0.35,,
gemini,keyboard,newleetcode.json,Q00015,0.35,,
gemini,keyboard,newleetcode.json,Q00015,0.35,,
gemini,keyboard,newleetcode.json,Q00015,0.4,0.5818947368421054,0.9910233616828918
gemini,keyboard,newleetcode.json,Q00015,0.4,0.5818947368421054,0.9910233616828918
gemini,keyboard,newleetcode.json,Q00015,0.4,0.5818947368421054,0.9910233616828918
gemini,keyboard,newleetcode.json,Q00015,0.4,0.5818947368421054,0.9910233616828918
gemini,keyboard,newleetcode.json,Q00015,0.4,0.5818947368421054,0.9910233616828918
gemini,keyboard,newleetcode.json,Q00015,0.45,,
gemini,keyboard,newleetcode.json,Q00015,0.45,,
gemini,keyboard,newleetcode.json,Q00015,0.45,,
gemini,keyboard,newleetcode.json,Q00015,0.45,,
gemini,keyboard,newleetcode.json,Q00015,0.45,,
gemini,keyboard,newleetcode.json,Q00015,0.5,0.44166619757951064,0.9788677096366882
gemini,keyboard,newleetcode.json,Q00015,0.5,0.44166619757951064,0.9788677096366882
gemini,keyboard,newleetcode.json,Q00015,0.5,0.44166619757951064,0.9788677096366882
gemini,keyboard,newleetcode.json,Q00015,0.5,0.44166619757951064,0.9788677096366882
gemini,keyboard,newleetcode.json,Q00015,0.5,0.42216507177033524,0.9782935380935669
gemini,keyboard,newleetcode.json,Q00015,0.55,,
gemini,keyboard,newleetcode.json,Q00015,0.55,,
gemini,keyboard,newleetcode.json,Q00015,0.55,,
gemini,keyboard,newleetcode.json,Q00015,0.55,,
gemini,keyboard,newleetcode.json,Q00015,0.55,,
