model,method,dataset,task,augmentation_rate,tsed_score,bert_score
gemini,keyboard,oldleetcode.json,Q00011,0.0,0.9553846153846154,0.9989361763000488
gemini,keyboard,oldleetcode.json,Q00011,0.0,0.9553846153846154,0.9989361763000488
gemini,keyboard,oldleetcode.json,Q00011,0.0,0.8184615384615384,0.9957447052001953
gemini,keyboard,oldleetcode.json,Q00011,0.0,0.9553846153846154,0.9989361763000488
gemini,keyboard,oldleetcode.json,Q00011,0.0,0.9553846153846154,0.9989361763000488
gemini,keyboard,oldleetcode.json,Q00011,0.05,,
gemini,keyboard,oldleetcode.json,Q00011,0.05,,
gemini,keyboard,oldleetcode.json,Q00011,0.05,,
gemini,keyboard,oldleetcode.json,Q00011,0.05,,
gemini,keyboard,oldleetcode.json,Q00011,0.05,,
gemini,keyboard,oldleetcode.json,Q00011,0.1,,
gemini,keyboard,oldleetcode.json,Q00011,0.1,,
gemini,keyboard,oldleetcode.json,Q00011,0.1,,
gemini,keyboard,oldleetcode.json,Q00011,0.1,,
gemini,keyboard,oldleetcode.json,Q00011,0.1,,
gemini,keyboard,oldleetcode.json,Q00011,0.15,,
gemini,keyboard,oldleetcode.json,Q00011,0.15,,
gemini,keyboard,oldleetcode.json,Q00011,0.15,,
gemini,keyboard,oldleetcode.json,Q00011,0.15,,
gemini,keyboard,oldleetcode.json,Q00011,0.15,,
gemini,keyboard,oldleetcode.json,Q00011,0.2,0.8184615384615384,0.9957447052001953
gemini,keyboard,oldleetcode.json,Q00011,0.2,0.8184615384615384,0.9957447052001953
gemini,keyboard,oldleetcode.json,Q00011,0.2,0.8184615384615384,0.9957447052001953
gemini,keyboard,oldleetcode.json,Q00011,0.2,0.8184615384615384,0.9956496953964233
gemini,keyboard,oldleetcode.json,Q00011,0.2,0.8184615384615384,0.9956496953964233
gemini,keyboard,oldleetcode.json,Q00011,0.25,,
gemini,keyboard,oldleetcode.json,Q00011,0.25,,
gemini,keyboard,oldleetcode.json,Q00011,0.25,,
gemini,keyboard,oldleetcode.json,Q00011,0.25,,
gemini,keyboard,oldleetcode.json,Q00011,0.25,,
gemini,keyboard,oldleetcode.json,Q00011,0.3,,
gemini,keyboard,oldleetcode.json,Q00011,0.3,,
gemini,keyboard,oldleetcode.json,Q00011,0.3,,
gemini,keyboard,oldleetcode.json,Q00011,0.3,,
gemini,keyboard,oldleetcode.json,Q00011,0.3,,
gemini,keyboard,oldleetcode.json,Q00011,0.35,,
gemini,keyboard,oldleetcode.json,Q00011,0.35,,
gemini,keyboard,oldleetcode.json,Q00011,0.35,,
gemini,keyboard,oldleetcode.json,Q00011,0.35,,
gemini,keyboard,oldleetcode.json,Q00011,0.35,,
gemini,keyboard,oldleetcode.json,Q00011,0.4,0.8184615384615384,0.9957447052001953
gemini,keyboard,oldleetcode.json,Q00011,0.4,0.8184615384615384,0.9957447052001953
gemini,keyboard,oldleetcode.json,Q00011,0.4,0.7580492709904474,0.9901047945022583
gemini,keyboard,oldleetcode.json,Q00011,0.4,0.7580492709904474,0.9901047945022583
gemini,keyboard,oldleetcode.json,Q00011,0.4,0.7580492709904474,0.9901047945022583
gemini,keyboard,oldleetcode.json,Q00011,0.45,,
gemini,keyboard,oldleetcode.json,Q00011,0.45,,
gemini,keyboard,oldleetcode.json,Q00011,0.45,,
gemini,keyboard,oldleetcode.json,Q00011,0.45,,
gemini,keyboard,oldleetcode.json,Q00011,0.45,,
gemini,keyboard,oldleetcode.json,Q00011,0.5,,
gemini,keyboard,oldleetcode.json,Q00011,0.5,,
gemini,keyboard,oldleetcode.json,Q00011,0.5,,
gemini,keyboard,oldleetcode.json,Q00011,0.5,,
gemini,keyboard,oldleetcode.json,Q00011,0.5,,
gemini,keyboard,oldleetcode.json,Q00011,0.55,,
gemini,keyboard,oldleetcode.json,Q00011,0.55,,
gemini,keyboard,oldleetcode.json,Q00011,0.55,,
gemini,keyboard,oldleetcode.json,Q00011,0.55,,
gemini,keyboard,oldleetcode.json,Q00011,0.55,,
gemini,keyboard,oldleetcode.json,Q00011,0.6,0.9223328305681248,0.9958807229995728
gemini,keyboard,oldleetcode.json,Q00011,0.6,0.9223328305681248,0.9958806037902832
gemini,keyboard,oldleetcode.json,Q00011,0.6,0.7862845651080945,0.9938913583755493
gemini,keyboard,oldleetcode.json,Q00011,0.6,0.9223328305681248,0.9958806037902832
gemini,keyboard,oldleetcode.json,Q00011,0.6,0.9223328305681248,0.9958806037902832
gemini,keyboard,oldleetcode.json,Q00011,0.65,,
gemini,keyboard,oldleetcode.json,Q00011,0.65,,
gemini,keyboard,oldleetcode.json,Q00011,0.65,,
gemini,keyboard,oldleetcode.json,Q00011,0.65,,
gemini,keyboard,oldleetcode.json,Q00011,0.65,,
gemini,keyboard,oldleetcode.json,Q00011,0.7,,
gemini,keyboard,oldleetcode.json,Q00011,0.7,,
gemini,keyboard,oldleetcode.json,Q00011,0.7,,
gemini,keyboard,oldleetcode.json,Q00011,0.7,,
gemini,keyboard,oldleetcode.json,Q00011,0.7,,
gemini,keyboard,oldleetcode.json,Q00011,0.75,,
gemini,keyboard,oldleetcode.json,Q00011,0.75,,
gemini,keyboard,oldleetcode.json,Q00011,0.75,,
gemini,keyboard,oldleetcode.json,Q00011,0.75,,
gemini,keyboard,oldleetcode.json,Q00011,0.75,,
gemini,keyboard,oldleetcode.json,Q00011,0.8,0.9223328305681248,0.9958807229995728
gemini,keyboard,oldleetcode.json,Q00011,0.8,0.9223328305681248,0.9958806037902832
gemini,keyboard,oldleetcode.json,Q00011,0.8,0.9223328305681248,0.9958806037902832
gemini,keyboard,oldleetcode.json,Q00011,0.8,0.9223328305681248,0.9958806037902832
gemini,keyboard,oldleetcode.json,Q00011,0.8,0.9223328305681248,0.9958806037902832
gemini,keyboard,oldleetcode.json,Q00011,0.85,,
gemini,keyboard,oldleetcode.json,Q00011,0.85,,
gemini,keyboard,oldleetcode.json,Q00011,0.85,,
gemini,keyboard,oldleetcode.json,Q00011,0.85,,
gemini,keyboard,oldleetcode.json,Q00011,0.85,,
gemini,keyboard,oldleetcode.json,Q00011,0.9,,
gemini,keyboard,oldleetcode.json,Q00011,0.9,,
gemini,keyboard,oldleetcode.json,Q00011,0.9,,
gemini,keyboard,oldleetcode.json,Q00011,0.9,,
gemini,keyboard,oldleetcode.json,Q00011,0.9,,
gemini,keyboard,oldleetcode.json,Q00011,0.95,,
