model,method,dataset,task,augmentation_rate,tsed_score,bert_score
gemini,keyboard,ourdataset.json,Q00002,0.0,1.0,1.0
gemini,keyboard,ourdataset.json,Q00002,0.0,,
gemini,keyboard,ourdataset.json,Q00002,0.0,,
gemini,keyboard,ourdataset.json,Q00002,0.0,,
gemini,keyboard,ourdataset.json,Q00002,0.0,,
gemini,keyboard,ourdataset.json,Q00002,0.05,,
gemini,keyboard,ourdataset.json,Q00002,0.05,,
gemini,keyboard,ourdataset.json,Q00002,0.05,,
gemini,keyboard,ourdataset.json,Q00002,0.05,,
gemini,keyboard,ourdataset.json,Q00002,0.05,,
gemini,keyboard,ourdataset.json,Q00002,0.1,,
gemini,keyboard,ourdataset.json,Q00002,0.1,,
gemini,keyboard,ourdataset.json,Q00002,0.1,,
gemini,keyboard,ourdataset.json,Q00002,0.1,,
gemini,keyboard,ourdataset.json,Q00002,0.1,,
gemini,keyboard,ourdataset.json,Q00002,0.15,,
gemini,keyboard,ourdataset.json,Q00002,0.15,,
gemini,keyboard,ourdataset.json,Q00002,0.15,,
gemini,keyboard,ourdataset.json,Q00002,0.15,,
gemini,keyboard,ourdataset.json,Q00002,0.15,,
gemini,keyboard,ourdataset.json,Q00002,0.2,0.4112610875433882,0.9859283566474915
gemini,keyboard,ourdataset.json,Q00002,0.2,,
gemini,keyboard,ourdataset.json,Q00002,0.2,,
gemini,keyboard,ourdataset.json,Q00002,0.2,,
gemini,keyboard,ourdataset.json,Q00002,0.2,,
gemini,keyboard,ourdataset.json,Q00002,0.25,,
gemini,keyboard,ourdataset.json,Q00002,0.25,,
gemini,keyboard,ourdataset.json,Q00002,0.25,,
gemini,keyboard,ourdataset.json,Q00002,0.25,,
gemini,keyboard,ourdataset.json,Q00002,0.25,,
gemini,keyboard,ourdataset.json,Q00002,0.3,,
gemini,keyboard,ourdataset.json,Q00002,0.3,,
gemini,keyboard,ourdataset.json,Q00002,0.3,,
gemini,keyboard,ourdataset.json,Q00002,0.3,,
gemini,keyboard,ourdataset.json,Q00002,0.3,,
gemini,keyboard,ourdataset.json,Q00002,0.35,,
gemini,keyboard,ourdataset.json,Q00002,0.35,,
gemini,keyboard,ourdataset.json,Q00002,0.35,,
gemini,keyboard,ourdataset.json,Q00002,0.35,,
gemini,keyboard,ourdataset.json,Q00002,0.35,,
gemini,keyboard,ourdataset.json,Q00002,0.4,0.22691862707289262,0.9555614590644836
gemini,keyboard,ourdataset.json,Q00002,0.4,,
gemini,keyboard,ourdataset.json,Q00002,0.4,,
gemini,keyboard,ourdataset.json,Q00002,0.4,,
gemini,keyboard,ourdataset.json,Q00002,0.4,,
gemini,keyboard,ourdataset.json,Q00002,0.45,,
gemini,keyboard,ourdataset.json,Q00002,0.45,,
gemini,keyboard,ourdataset.json,Q00002,0.45,,
gemini,keyboard,ourdataset.json,Q00002,0.45,,
gemini,keyboard,ourdataset.json,Q00002,0.45,,
gemini,keyboard,ourdataset.json,Q00002,0.5,,
gemini,keyboard,ourdataset.json,Q00002,0.5,,
gemini,keyboard,ourdataset.json,Q00002,0.5,,
gemini,keyboard,ourdataset.json,Q00002,0.5,,
gemini,keyboard,ourdataset.json,Q00002,0.5,,
gemini,keyboard,ourdataset.json,Q00002,0.55,,
gemini,keyboard,ourdataset.json,Q00002,0.55,,
gemini,keyboard,ourdataset.json,Q00002,0.55,,
gemini,keyboard,ourdataset.json,Q00002,0.55,,
gemini,keyboard,ourdataset.json,Q00002,0.55,,
gemini,keyboard,ourdataset.json,Q00002,0.6,0.09440802159660615,0.9512580633163452
gemini,keyboard,ourdataset.json,Q00002,0.6,,
gemini,keyboard,ourdataset.json,Q00002,0.6,,
gemini,keyboard,ourdataset.json,Q00002,0.6,,
gemini,keyboard,ourdataset.json,Q00002,0.6,,
gemini,keyboard,ourdataset.json,Q00002,0.65,,
gemini,keyboard,ourdataset.json,Q00002,0.65,,
gemini,keyboard,ourdataset.json,Q00002,0.65,,
gemini,keyboard,ourdataset.json,Q00002,0.65,,
gemini,keyboard,ourdataset.json,Q00002,0.65,,
gemini,keyboard,ourdataset.json,Q00002,0.7,,
gemini,keyboard,ourdataset.json,Q00002,0.7,,
gemini,keyboard,ourdataset.json,Q00002,0.7,,
gemini,keyboard,ourdataset.json,Q00002,0.7,,
gemini,keyboard,ourdataset.json,Q00002,0.7,,
gemini,keyboard,ourdataset.json,Q00002,0.75,,
gemini,keyboard,ourdataset.json,Q00002,0.75,,
gemini,keyboard,ourdataset.json,Q00002,0.75,,
gemini,keyboard,ourdataset.json,Q00002,0.75,,
gemini,keyboard,ourdataset.json,Q00002,0.75,,
gemini,keyboard,ourdataset.json,Q00002,0.8,0.19822599305823477,0.9535821676254272
gemini,keyboard,ourdataset.json,Q00002,0.8,,
gemini,keyboard,ourdataset.json,Q00002,0.8,,
gemini,keyboard,ourdataset.json,Q00002,0.8,,
gemini,keyboard,ourdataset.json,Q00002,0.8,,
gemini,keyboard,ourdataset.json,Q00002,0.85,,
gemini,keyboard,ourdataset.json,Q00002,0.85,,
gemini,keyboard,ourdataset.json,Q00002,0.85,,
gemini,keyboard,ourdataset.json,Q00002,0.85,,
gemini,keyboard,ourdataset.json,Q00002,0.85,,
gemini,keyboard,ourdataset.json,Q00002,0.9,,
gemini,keyboard,ourdataset.json,Q00002,0.9,,
gemini,keyboard,ourdataset.json,Q00002,0.9,,
gemini,keyboard,ourdataset.json,Q00002,0.9,,
gemini,keyboard,ourdataset.json,Q00002,0.9,,
gemini,keyboard,ourdataset.json,Q00002,0.95,,
gemini,keyboard,ourdataset.json,Q00002,0.95,,
gemini,keyboard,ourdataset.json,Q00002,0.95,,
gemini,keyboard,ourdataset.json,Q00002,0.95,,
gemini,keyboard,ourdataset.json,Q00002,0.95,,
gemini,keyboard,ourdataset.json,Q00002,1.0,0.1617431546471262,0.954980194568634
gemini,keyboard,ourdataset.json,Q00002,1.0,,
gemini,keyboard,ourdataset.json,Q00002,1.0,,
