model,method,dataset,task,augmentation_rate,tsed_score,bert_score
gemini,paraphraser,newleetcode.json,Q00010,0.0,0.9352808988764044,0.9948623776435852
gemini,paraphraser,newleetcode.json,Q00010,0.0,0.9532584269662921,0.9965747594833374
gemini,paraphraser,newleetcode.json,Q00010,0.0,0.9352808988764044,0.9948623776435852
gemini,paraphraser,newleetcode.json,Q00010,0.0,0.9532584269662921,0.9965747594833374
gemini,paraphraser,newleetcode.json,Q00010,0.0,0.9532584269662921,0.9965747594833374
gemini,paraphraser,newleetcode.json,Q00010,0.25,0.6369565217391304,0.0
gemini,paraphraser,newleetcode.json,Q00010,0.25,0.6369565217391304,0.0
gemini,paraphraser,newleetcode.json,Q00010,0.25,0.6369565217391304,0.0
gemini,paraphraser,newleetcode.json,Q00010,0.25,0.6369565217391304,0.0
gemini,paraphraser,newleetcode.json,Q00010,0.25,0.6369565217391304,0.0
gemini,paraphraser,newleetcode.json,Q00010,0.6,0.6025688073394497,0.9803922772407532
gemini,paraphraser,newleetcode.json,Q00010,0.6,0.6025688073394497,0.9803922772407532
gemini,paraphraser,newleetcode.json,Q00010,0.6,0.6025688073394497,0.9803922772407532
gemini,paraphraser,newleetcode.json,Q00010,0.6,0.6025688073394497,0.9803922772407532
gemini,paraphraser,newleetcode.json,Q00010,0.6,0.6025688073394497,0.9803922772407532
gemini,paraphraser,newleetcode.json,Q00010,0.9,0.39046511627907016,0.0
gemini,paraphraser,newleetcode.json,Q00010,0.9,0.39046511627907016,0.0
gemini,paraphraser,newleetcode.json,Q00010,0.9,0.39046511627907016,0.0
gemini,paraphraser,newleetcode.json,Q00010,0.9,0.39046511627907016,0.0
gemini,paraphraser,newleetcode.json,Q00010,0.9,0.39046511627907016,0.0
