model,method,dataset,task,augmentation_rate,tsed_score,bert_score
gemini,paraphraser,ourdataset.json,Q00010,0.0,0.7590118764845611,0.9938644170761108
gemini,paraphraser,ourdataset.json,Q00010,0.0,0.6483800475059385,0.990796685218811
gemini,paraphraser,ourdataset.json,Q00010,0.0,0.7590118764845611,0.9938644170761108
gemini,paraphraser,ourdataset.json,Q00010,0.0,0.6483800475059385,0.990796685218811
gemini,paraphraser,ourdataset.json,Q00010,0.0,0.7590118764845611,0.9938644170761108
gemini,paraphraser,ourdataset.json,Q00010,0.25,0.5078388704608653,0.0
gemini,paraphraser,ourdataset.json,Q00010,0.25,0.5078388704608653,0.0
gemini,paraphraser,ourdataset.json,Q00010,0.25,0.5078388704608653,0.0
gemini,paraphraser,ourdataset.json,Q00010,0.25,0.5078388704608653,0.0
gemini,paraphraser,ourdataset.json,Q00010,0.25,0.49934196898836075,0.0
gemini,paraphraser,ourdataset.json,Q00010,0.6,0.46098391674550987,0.990979790687561
gemini,paraphraser,ourdataset.json,Q00010,0.6,0.4328397338487215,0.9859528541564941
gemini,paraphraser,ourdataset.json,Q00010,0.6,0.46098391674550987,0.990979790687561
gemini,paraphraser,ourdataset.json,Q00010,0.6,0.46098391674550987,0.990979790687561
gemini,paraphraser,ourdataset.json,Q00010,0.6,0.4328397338487215,0.9859528541564941
gemini,paraphraser,ourdataset.json,Q00010,0.9,0.5440622607773273,0.0
gemini,paraphraser,ourdataset.json,Q00010,0.9,0.6115973797966984,0.0
gemini,paraphraser,ourdataset.json,Q00010,0.9,0.5440622607773273,0.0
gemini,paraphraser,ourdataset.json,Q00010,0.9,0.5440622607773273,0.0
gemini,paraphraser,ourdataset.json,Q00010,0.9,0.6115973797966984,0.0
