model,method,dataset,task,augmentation_rate,tsed_score,bert_score
gemini,synonym,newleetcode.json,Q00018,0.0,1.0,1.0
gemini,synonym,newleetcode.json,Q00018,0.0,1.0,1.0
gemini,synonym,newleetcode.json,Q00018,0.0,1.0,1.0
gemini,synonym,newleetcode.json,Q00018,0.0,1.0,1.0
gemini,synonym,newleetcode.json,Q00018,0.0,1.0,1.0
gemini,synonym,newleetcode.json,Q00018,0.05,,
gemini,synonym,newleetcode.json,Q00018,0.05,,
gemini,synonym,newleetcode.json,Q00018,0.05,,
gemini,synonym,newleetcode.json,Q00018,0.05,,
gemini,synonym,newleetcode.json,Q00018,0.05,,
gemini,synonym,newleetcode.json,Q00018,0.1,,
gemini,synonym,newleetcode.json,Q00018,0.1,,
gemini,synonym,newleetcode.json,Q00018,0.1,,
gemini,synonym,newleetcode.json,Q00018,0.1,,
gemini,synonym,newleetcode.json,Q00018,0.1,,
gemini,synonym,newleetcode.json,Q00018,0.15,,
gemini,synonym,newleetcode.json,Q00018,0.15,,
gemini,synonym,newleetcode.json,Q00018,0.15,,
gemini,synonym,newleetcode.json,Q00018,0.15,,
gemini,synonym,newleetcode.json,Q00018,0.15,,
gemini,synonym,newleetcode.json,Q00018,0.2,1.0,1.0
gemini,synonym,newleetcode.json,Q00018,0.2,1.0,1.0
gemini,synonym,newleetcode.json,Q00018,0.2,1.0,1.0
gemini,synonym,newleetcode.json,Q00018,0.2,1.0,1.0
gemini,synonym,newleetcode.json,Q00018,0.2,1.0,1.0
gemini,synonym,newleetcode.json,Q00018,0.25,,
gemini,synonym,newleetcode.json,Q00018,0.25,,
gemini,synonym,newleetcode.json,Q00018,0.25,,
gemini,synonym,newleetcode.json,Q00018,0.25,,
gemini,synonym,newleetcode.json,Q00018,0.25,,
gemini,synonym,newleetcode.json,Q00018,0.3,,
gemini,synonym,newleetcode.json,Q00018,0.3,,
gemini,synonym,newleetcode.json,Q00018,0.3,,
gemini,synonym,newleetcode.json,Q00018,0.3,,
gemini,synonym,newleetcode.json,Q00018,0.3,,
gemini,synonym,newleetcode.json,Q00018,0.35,,
gemini,synonym,newleetcode.json,Q00018,0.35,,
gemini,synonym,newleetcode.json,Q00018,0.35,,
gemini,synonym,newleetcode.json,Q00018,0.35,,
gemini,synonym,newleetcode.json,Q00018,0.35,,
gemini,synonym,newleetcode.json,Q00018,0.4,0.840909090909091,0.9957095384597778
gemini,synonym,newleetcode.json,Q00018,0.4,0.840909090909091,0.9935256838798523
gemini,synonym,newleetcode.json,Q00018,0.4,0.840909090909091,0.9935256838798523
gemini,synonym,newleetcode.json,Q00018,0.4,0.840909090909091,0.9957095384597778
gemini,synonym,newleetcode.json,Q00018,0.4,0.840909090909091,0.9957095384597778
gemini,synonym,newleetcode.json,Q00018,0.45,,
gemini,synonym,newleetcode.json,Q00018,0.45,,
gemini,synonym,newleetcode.json,Q00018,0.45,,
gemini,synonym,newleetcode.json,Q00018,0.45,,
gemini,synonym,newleetcode.json,Q00018,0.45,,
gemini,synonym,newleetcode.json,Q00018,0.5,,
gemini,synonym,newleetcode.json,Q00018,0.5,,
gemini,synonym,newleetcode.json,Q00018,0.5,,
gemini,synonym,newleetcode.json,Q00018,0.5,,
gemini,synonym,newleetcode.json,Q00018,0.5,,
gemini,synonym,newleetcode.json,Q00018,0.55,,
gemini,synonym,newleetcode.json,Q00018,0.55,,
gemini,synonym,newleetcode.json,Q00018,0.55,,
gemini,synonym,newleetcode.json,Q00018,0.55,,
gemini,synonym,newleetcode.json,Q00018,0.55,,
gemini,synonym,newleetcode.json,Q00018,0.6,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,0.6,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,0.6,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,0.6,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,0.6,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,0.65,,
gemini,synonym,newleetcode.json,Q00018,0.65,,
gemini,synonym,newleetcode.json,Q00018,0.65,,
gemini,synonym,newleetcode.json,Q00018,0.65,,
gemini,synonym,newleetcode.json,Q00018,0.65,,
gemini,synonym,newleetcode.json,Q00018,0.7,,
gemini,synonym,newleetcode.json,Q00018,0.7,,
gemini,synonym,newleetcode.json,Q00018,0.7,,
gemini,synonym,newleetcode.json,Q00018,0.7,,
gemini,synonym,newleetcode.json,Q00018,0.7,,
gemini,synonym,newleetcode.json,Q00018,0.75,,
gemini,synonym,newleetcode.json,Q00018,0.75,,
gemini,synonym,newleetcode.json,Q00018,0.75,,
gemini,synonym,newleetcode.json,Q00018,0.75,,
gemini,synonym,newleetcode.json,Q00018,0.75,,
gemini,synonym,newleetcode.json,Q00018,0.8,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,0.8,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,0.8,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,0.8,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,0.8,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,0.85,,
gemini,synonym,newleetcode.json,Q00018,0.85,,
gemini,synonym,newleetcode.json,Q00018,0.85,,
gemini,synonym,newleetcode.json,Q00018,0.85,,
gemini,synonym,newleetcode.json,Q00018,0.85,,
gemini,synonym,newleetcode.json,Q00018,0.9,,
gemini,synonym,newleetcode.json,Q00018,0.9,,
gemini,synonym,newleetcode.json,Q00018,0.9,,
gemini,synonym,newleetcode.json,Q00018,0.9,,
gemini,synonym,newleetcode.json,Q00018,0.9,,
gemini,synonym,newleetcode.json,Q00018,0.95,,
gemini,synonym,newleetcode.json,Q00018,0.95,,
gemini,synonym,newleetcode.json,Q00018,0.95,,
gemini,synonym,newleetcode.json,Q00018,0.95,,
gemini,synonym,newleetcode.json,Q00018,0.95,,
gemini,synonym,newleetcode.json,Q00018,1.0,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,1.0,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,1.0,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,1.0,1.0,0.9986197352409363
gemini,synonym,newleetcode.json,Q00018,1.0,1.0,0.9986197352409363
