model,method,dataset,task,augmentation_rate,tsed_score,bert_score
gemini,synonym,oldleetcode.json,Q00017,0.0,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.0,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.0,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.0,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.0,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.05,,
gemini,synonym,oldleetcode.json,Q00017,0.05,,
gemini,synonym,oldleetcode.json,Q00017,0.05,,
gemini,synonym,oldleetcode.json,Q00017,0.05,,
gemini,synonym,oldleetcode.json,Q00017,0.05,,
gemini,synonym,oldleetcode.json,Q00017,0.1,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.1,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.1,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.1,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.1,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.15,,
gemini,synonym,oldleetcode.json,Q00017,0.15,,
gemini,synonym,oldleetcode.json,Q00017,0.15,,
gemini,synonym,oldleetcode.json,Q00017,0.15,,
gemini,synonym,oldleetcode.json,Q00017,0.15,,
gemini,synonym,oldleetcode.json,Q00017,0.2,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.2,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.2,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.2,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.2,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.25,,
gemini,synonym,oldleetcode.json,Q00017,0.25,,
gemini,synonym,oldleetcode.json,Q00017,0.25,,
gemini,synonym,oldleetcode.json,Q00017,0.25,,
gemini,synonym,oldleetcode.json,Q00017,0.25,,
gemini,synonym,oldleetcode.json,Q00017,0.3,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.3,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.3,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.3,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.3,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.35,,
gemini,synonym,oldleetcode.json,Q00017,0.35,,
gemini,synonym,oldleetcode.json,Q00017,0.35,,
gemini,synonym,oldleetcode.json,Q00017,0.35,,
gemini,synonym,oldleetcode.json,Q00017,0.35,,
gemini,synonym,oldleetcode.json,Q00017,0.4,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.4,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.4,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.4,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.4,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.45,,
gemini,synonym,oldleetcode.json,Q00017,0.45,,
gemini,synonym,oldleetcode.json,Q00017,0.45,,
gemini,synonym,oldleetcode.json,Q00017,0.45,,
gemini,synonym,oldleetcode.json,Q00017,0.45,,
gemini,synonym,oldleetcode.json,Q00017,0.5,0.4841121495327097,0.0
gemini,synonym,oldleetcode.json,Q00017,0.5,0.4841121495327097,0.0
gemini,synonym,oldleetcode.json,Q00017,0.5,0.5534883720930244,0.0
gemini,synonym,oldleetcode.json,Q00017,0.5,0.4841121495327097,0.0
gemini,synonym,oldleetcode.json,Q00017,0.5,0.4841121495327097,0.0
gemini,synonym,oldleetcode.json,Q00017,0.55,,
gemini,synonym,oldleetcode.json,Q00017,0.55,,
gemini,synonym,oldleetcode.json,Q00017,0.55,,
gemini,synonym,oldleetcode.json,Q00017,0.55,,
gemini,synonym,oldleetcode.json,Q00017,0.55,,
gemini,synonym,oldleetcode.json,Q00017,0.6,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.6,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.6,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.6,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.6,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.65,,
gemini,synonym,oldleetcode.json,Q00017,0.65,,
gemini,synonym,oldleetcode.json,Q00017,0.65,,
gemini,synonym,oldleetcode.json,Q00017,0.65,,
gemini,synonym,oldleetcode.json,Q00017,0.65,,
gemini,synonym,oldleetcode.json,Q00017,0.7,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.7,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.7,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.7,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.7,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.75,,
gemini,synonym,oldleetcode.json,Q00017,0.75,,
gemini,synonym,oldleetcode.json,Q00017,0.75,,
gemini,synonym,oldleetcode.json,Q00017,0.75,,
gemini,synonym,oldleetcode.json,Q00017,0.75,,
gemini,synonym,oldleetcode.json,Q00017,0.8,0.5548638132295731,0.0
gemini,synonym,oldleetcode.json,Q00017,0.8,0.5548638132295731,0.0
gemini,synonym,oldleetcode.json,Q00017,0.8,0.5548638132295731,0.0
gemini,synonym,oldleetcode.json,Q00017,0.8,0.5548638132295731,0.0
gemini,synonym,oldleetcode.json,Q00017,0.8,0.5548638132295731,0.0
gemini,synonym,oldleetcode.json,Q00017,0.85,,
gemini,synonym,oldleetcode.json,Q00017,0.85,,
gemini,synonym,oldleetcode.json,Q00017,0.85,,
gemini,synonym,oldleetcode.json,Q00017,0.85,,
gemini,synonym,oldleetcode.json,Q00017,0.85,,
gemini,synonym,oldleetcode.json,Q00017,0.9,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.9,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.9,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.9,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.9,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,0.95,,
gemini,synonym,oldleetcode.json,Q00017,0.95,,
gemini,synonym,oldleetcode.json,Q00017,0.95,,
gemini,synonym,oldleetcode.json,Q00017,0.95,,
gemini,synonym,oldleetcode.json,Q00017,0.95,,
gemini,synonym,oldleetcode.json,Q00017,1.0,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,1.0,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,1.0,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,1.0,1.0,0.0
gemini,synonym,oldleetcode.json,Q00017,1.0,1.0,0.0
