model,method,dataset,task,augmentation_rate,tsed_score,bert_score
gemini,synonym,ourdataset.json,Q00020,0.0,0.8292857142857144,0.9956367611885071
gemini,synonym,ourdataset.json,Q00020,0.0,,
gemini,synonym,ourdataset.json,Q00020,0.0,,
gemini,synonym,ourdataset.json,Q00020,0.0,,
gemini,synonym,ourdataset.json,Q00020,0.0,,
gemini,synonym,ourdataset.json,Q00020,0.05,,
gemini,synonym,ourdataset.json,Q00020,0.05,,
gemini,synonym,ourdataset.json,Q00020,0.05,,
gemini,synonym,ourdataset.json,Q00020,0.05,,
gemini,synonym,ourdataset.json,Q00020,0.05,,
gemini,synonym,ourdataset.json,Q00020,0.1,,
gemini,synonym,ourdataset.json,Q00020,0.1,,
gemini,synonym,ourdataset.json,Q00020,0.1,,
gemini,synonym,ourdataset.json,Q00020,0.1,,
gemini,synonym,ourdataset.json,Q00020,0.1,,
gemini,synonym,ourdataset.json,Q00020,0.15,,
gemini,synonym,ourdataset.json,Q00020,0.15,,
gemini,synonym,ourdataset.json,Q00020,0.15,,
gemini,synonym,ourdataset.json,Q00020,0.15,,
gemini,synonym,ourdataset.json,Q00020,0.15,,
gemini,synonym,ourdataset.json,Q00020,0.2,0.7920644599303137,0.9865853190422058
gemini,synonym,ourdataset.json,Q00020,0.2,,
gemini,synonym,ourdataset.json,Q00020,0.2,,
gemini,synonym,ourdataset.json,Q00020,0.2,,
gemini,synonym,ourdataset.json,Q00020,0.2,,
gemini,synonym,ourdataset.json,Q00020,0.25,,
gemini,synonym,ourdataset.json,Q00020,0.25,,
gemini,synonym,ourdataset.json,Q00020,0.25,,
gemini,synonym,ourdataset.json,Q00020,0.25,,
gemini,synonym,ourdataset.json,Q00020,0.25,,
gemini,synonym,ourdataset.json,Q00020,0.3,,
gemini,synonym,ourdataset.json,Q00020,0.3,,
gemini,synonym,ourdataset.json,Q00020,0.3,,
gemini,synonym,ourdataset.json,Q00020,0.3,,
gemini,synonym,ourdataset.json,Q00020,0.3,,
gemini,synonym,ourdataset.json,Q00020,0.35,,
gemini,synonym,ourdataset.json,Q00020,0.35,,
gemini,synonym,ourdataset.json,Q00020,0.35,,
gemini,synonym,ourdataset.json,Q00020,0.35,,
gemini,synonym,ourdataset.json,Q00020,0.35,,
gemini,synonym,ourdataset.json,Q00020,0.4,0.6518731988472622,0.9750568270683289
gemini,synonym,ourdataset.json,Q00020,0.4,,
gemini,synonym,ourdataset.json,Q00020,0.4,,
gemini,synonym,ourdataset.json,Q00020,0.4,,
gemini,synonym,ourdataset.json,Q00020,0.4,,
gemini,synonym,ourdataset.json,Q00020,0.45,,
gemini,synonym,ourdataset.json,Q00020,0.45,,
gemini,synonym,ourdataset.json,Q00020,0.45,,
gemini,synonym,ourdataset.json,Q00020,0.45,,
gemini,synonym,ourdataset.json,Q00020,0.45,,
gemini,synonym,ourdataset.json,Q00020,0.5,,
gemini,synonym,ourdataset.json,Q00020,0.5,,
gemini,synonym,ourdataset.json,Q00020,0.5,,
gemini,synonym,ourdataset.json,Q00020,0.5,,
gemini,synonym,ourdataset.json,Q00020,0.5,,
gemini,synonym,ourdataset.json,Q00020,0.55,,
gemini,synonym,ourdataset.json,Q00020,0.55,,
gemini,synonym,ourdataset.json,Q00020,0.55,,
gemini,synonym,ourdataset.json,Q00020,0.55,,
gemini,synonym,ourdataset.json,Q00020,0.55,,
gemini,synonym,ourdataset.json,Q00020,0.6,0.5462825696316262,0.9775722622871399
gemini,synonym,ourdataset.json,Q00020,0.6,,
gemini,synonym,ourdataset.json,Q00020,0.6,,
gemini,synonym,ourdataset.json,Q00020,0.6,,
gemini,synonym,ourdataset.json,Q00020,0.6,,
gemini,synonym,ourdataset.json,Q00020,0.65,,
gemini,synonym,ourdataset.json,Q00020,0.65,,
gemini,synonym,ourdataset.json,Q00020,0.65,,
gemini,synonym,ourdataset.json,Q00020,0.65,,
gemini,synonym,ourdataset.json,Q00020,0.65,,
gemini,synonym,ourdataset.json,Q00020,0.7,,
gemini,synonym,ourdataset.json,Q00020,0.7,,
gemini,synonym,ourdataset.json,Q00020,0.7,,
