model,method,dataset,task,augmentation_rate,tsed_score,bert_score
llama,keyboard,newleetcode.json,Q00000,0.0,0.8071383172028334,0.9937840700149536
llama,keyboard,newleetcode.json,Q00000,0.0,,
llama,keyboard,newleetcode.json,Q00000,0.0,,
llama,keyboard,newleetcode.json,Q00000,0.0,,
llama,keyboard,newleetcode.json,Q00000,0.0,,
llama,keyboard,newleetcode.json,Q00000,0.05,,
llama,keyboard,newleetcode.json,Q00000,0.05,,
llama,keyboard,newleetcode.json,Q00000,0.05,,
llama,keyboard,newleetcode.json,Q00000,0.05,,
llama,keyboard,newleetcode.json,Q00000,0.05,,
llama,keyboard,newleetcode.json,Q00000,0.1,,
llama,keyboard,newleetcode.json,Q00000,0.1,,
llama,keyboard,newleetcode.json,Q00000,0.1,,
llama,keyboard,newleetcode.json,Q00000,0.1,,
llama,keyboard,newleetcode.json,Q00000,0.1,,
llama,keyboard,newleetcode.json,Q00000,0.15,,
llama,keyboard,newleetcode.json,Q00000,0.15,,
llama,keyboard,newleetcode.json,Q00000,0.15,,
llama,keyboard,newleetcode.json,Q00000,0.15,,
llama,keyboard,newleetcode.json,Q00000,0.15,,
llama,keyboard,newleetcode.json,Q00000,0.2,0.8389608995581177,0.9930087327957153
llama,keyboard,newleetcode.json,Q00000,0.2,,
llama,keyboard,newleetcode.json,Q00000,0.2,,
llama,keyboard,newleetcode.json,Q00000,0.2,,
llama,keyboard,newleetcode.json,Q00000,0.2,,
llama,keyboard,newleetcode.json,Q00000,0.25,,
llama,keyboard,newleetcode.json,Q00000,0.25,,
llama,keyboard,newleetcode.json,Q00000,0.25,,
llama,keyboard,newleetcode.json,Q00000,0.25,,
llama,keyboard,newleetcode.json,Q00000,0.25,,
llama,keyboard,newleetcode.json,Q00000,0.3,,
llama,keyboard,newleetcode.json,Q00000,0.3,,
llama,keyboard,newleetcode.json,Q00000,0.3,,
llama,keyboard,newleetcode.json,Q00000,0.3,,
llama,keyboard,newleetcode.json,Q00000,0.3,,
llama,keyboard,newleetcode.json,Q00000,0.35,,
llama,keyboard,newleetcode.json,Q00000,0.35,,
llama,keyboard,newleetcode.json,Q00000,0.35,,
llama,keyboard,newleetcode.json,Q00000,0.35,,
llama,keyboard,newleetcode.json,Q00000,0.35,,
llama,keyboard,newleetcode.json,Q00000,0.4,0.5596267838848485,0.9896757006645203
llama,keyboard,newleetcode.json,Q00000,0.4,,
llama,keyboard,newleetcode.json,Q00000,0.4,,
llama,keyboard,newleetcode.json,Q00000,0.4,,
llama,keyboard,newleetcode.json,Q00000,0.4,,
llama,keyboard,newleetcode.json,Q00000,0.45,,
llama,keyboard,newleetcode.json,Q00000,0.45,,
llama,keyboard,newleetcode.json,Q00000,0.45,,
llama,keyboard,newleetcode.json,Q00000,0.45,,
llama,keyboard,newleetcode.json,Q00000,0.45,,
llama,keyboard,newleetcode.json,Q00000,0.5,,
llama,keyboard,newleetcode.json,Q00000,0.5,,
llama,keyboard,newleetcode.json,Q00000,0.5,,
llama,keyboard,newleetcode.json,Q00000,0.5,,
llama,keyboard,newleetcode.json,Q00000,0.5,,
llama,keyboard,newleetcode.json,Q00000,0.55,,
llama,keyboard,newleetcode.json,Q00000,0.55,,
llama,keyboard,newleetcode.json,Q00000,0.55,,
llama,keyboard,newleetcode.json,Q00000,0.55,,
llama,keyboard,newleetcode.json,Q00000,0.55,,
llama,keyboard,newleetcode.json,Q00000,0.6,0.4278771774762129,0.9781582951545715
llama,keyboard,newleetcode.json,Q00000,0.6,,
llama,keyboard,newleetcode.json,Q00000,0.6,,
llama,keyboard,newleetcode.json,Q00000,0.6,,
llama,keyboard,newleetcode.json,Q00000,0.6,,
llama,keyboard,newleetcode.json,Q00000,0.65,,
llama,keyboard,newleetcode.json,Q00000,0.65,,
llama,keyboard,newleetcode.json,Q00000,0.65,,
llama,keyboard,newleetcode.json,Q00000,0.65,,
llama,keyboard,newleetcode.json,Q00000,0.65,,
llama,keyboard,newleetcode.json,Q00000,0.7,,
llama,keyboard,newleetcode.json,Q00000,0.7,,
llama,keyboard,newleetcode.json,Q00000,0.7,,
llama,keyboard,newleetcode.json,Q00000,0.7,,
llama,keyboard,newleetcode.json,Q00000,0.7,,
llama,keyboard,newleetcode.json,Q00000,0.75,,
llama,keyboard,newleetcode.json,Q00000,0.75,,
llama,keyboard,newleetcode.json,Q00000,0.75,,
llama,keyboard,newleetcode.json,Q00000,0.75,,
llama,keyboard,newleetcode.json,Q00000,0.75,,
llama,keyboard,newleetcode.json,Q00000,0.8,0.5330763541086123,0.9822419285774231
llama,keyboard,newleetcode.json,Q00000,0.8,,
llama,keyboard,newleetcode.json,Q00000,0.8,,
llama,keyboard,newleetcode.json,Q00000,0.8,,
llama,keyboard,newleetcode.json,Q00000,0.8,,
llama,keyboard,newleetcode.json,Q00000,0.85,,
llama,keyboard,newleetcode.json,Q00000,0.85,,
llama,keyboard,newleetcode.json,Q00000,0.85,,
llama,keyboard,newleetcode.json,Q00000,0.85,,
llama,keyboard,newleetcode.json,Q00000,0.85,,
llama,keyboard,newleetcode.json,Q00000,0.9,,
llama,keyboard,newleetcode.json,Q00000,0.9,,
llama,keyboard,newleetcode.json,Q00000,0.9,,
llama,keyboard,newleetcode.json,Q00000,0.9,,
llama,keyboard,newleetcode.json,Q00000,0.9,,
llama,keyboard,newleetcode.json,Q00000,0.95,,
llama,keyboard,newleetcode.json,Q00000,0.95,,
llama,keyboard,newleetcode.json,Q00000,0.95,,
llama,keyboard,newleetcode.json,Q00000,0.95,,
llama,keyboard,newleetcode.json,Q00000,0.95,,
llama,keyboard,newleetcode.json,Q00000,1.0,0.5479069767441861,0.9774783849716187
llama,keyboard,newleetcode.json,Q00000,1.0,,
llama,keyboard,newleetcode.json,Q00000,1.0,,
llama,keyboard,newleetcode.json,Q00000,1.0,,
llama,keyboard,newleetcode.json,Q00000,1.0,,
