model,method,dataset,task,augmentation_rate,tsed_score,bert_score
llama,keyboard,oldleetcode.json,Q00002,0.0,0.9707692307692308,0.9964605569839478
llama,keyboard,oldleetcode.json,Q00002,0.0,,
llama,keyboard,oldleetcode.json,Q00002,0.0,,
llama,keyboard,oldleetcode.json,Q00002,0.0,,
llama,keyboard,oldleetcode.json,Q00002,0.0,,
llama,keyboard,oldleetcode.json,Q00002,0.05,,
llama,keyboard,oldleetcode.json,Q00002,0.05,,
llama,keyboard,oldleetcode.json,Q00002,0.05,,
llama,keyboard,oldleetcode.json,Q00002,0.05,,
llama,keyboard,oldleetcode.json,Q00002,0.05,,
llama,keyboard,oldleetcode.json,Q00002,0.1,,
llama,keyboard,oldleetcode.json,Q00002,0.1,,
llama,keyboard,oldleetcode.json,Q00002,0.1,,
llama,keyboard,oldleetcode.json,Q00002,0.1,,
llama,keyboard,oldleetcode.json,Q00002,0.1,,
llama,keyboard,oldleetcode.json,Q00002,0.15,,
llama,keyboard,oldleetcode.json,Q00002,0.15,,
llama,keyboard,oldleetcode.json,Q00002,0.15,,
llama,keyboard,oldleetcode.json,Q00002,0.15,,
llama,keyboard,oldleetcode.json,Q00002,0.15,,
llama,keyboard,oldleetcode.json,Q00002,0.2,0.8953846153846154,0.9832805395126343
llama,keyboard,oldleetcode.json,Q00002,0.2,,
llama,keyboard,oldleetcode.json,Q00002,0.2,,
llama,keyboard,oldleetcode.json,Q00002,0.2,,
llama,keyboard,oldleetcode.json,Q00002,0.2,,
llama,keyboard,oldleetcode.json,Q00002,0.25,,
llama,keyboard,oldleetcode.json,Q00002,0.25,,
llama,keyboard,oldleetcode.json,Q00002,0.25,,
llama,keyboard,oldleetcode.json,Q00002,0.25,,
llama,keyboard,oldleetcode.json,Q00002,0.25,,
llama,keyboard,oldleetcode.json,Q00002,0.3,,
llama,keyboard,oldleetcode.json,Q00002,0.3,,
llama,keyboard,oldleetcode.json,Q00002,0.3,,
llama,keyboard,oldleetcode.json,Q00002,0.3,,
llama,keyboard,oldleetcode.json,Q00002,0.3,,
llama,keyboard,oldleetcode.json,Q00002,0.35,,
llama,keyboard,oldleetcode.json,Q00002,0.35,,
llama,keyboard,oldleetcode.json,Q00002,0.35,,
llama,keyboard,oldleetcode.json,Q00002,0.35,,
llama,keyboard,oldleetcode.json,Q00002,0.35,,
llama,keyboard,oldleetcode.json,Q00002,0.4,0.348372093023256,0.9710164070129395
llama,keyboard,oldleetcode.json,Q00002,0.4,,
llama,keyboard,oldleetcode.json,Q00002,0.4,,
llama,keyboard,oldleetcode.json,Q00002,0.4,,
llama,keyboard,oldleetcode.json,Q00002,0.4,,
llama,keyboard,oldleetcode.json,Q00002,0.45,,
llama,keyboard,oldleetcode.json,Q00002,0.45,,
llama,keyboard,oldleetcode.json,Q00002,0.45,,
llama,keyboard,oldleetcode.json,Q00002,0.45,,
llama,keyboard,oldleetcode.json,Q00002,0.45,,
llama,keyboard,oldleetcode.json,Q00002,0.5,,
llama,keyboard,oldleetcode.json,Q00002,0.5,,
llama,keyboard,oldleetcode.json,Q00002,0.5,,
llama,keyboard,oldleetcode.json,Q00002,0.5,,
llama,keyboard,oldleetcode.json,Q00002,0.5,,
llama,keyboard,oldleetcode.json,Q00002,0.55,,
llama,keyboard,oldleetcode.json,Q00002,0.55,,
llama,keyboard,oldleetcode.json,Q00002,0.55,,
llama,keyboard,oldleetcode.json,Q00002,0.55,,
llama,keyboard,oldleetcode.json,Q00002,0.55,,
llama,keyboard,oldleetcode.json,Q00002,0.6,0.3719615384615384,0.9769128561019897
llama,keyboard,oldleetcode.json,Q00002,0.6,,
llama,keyboard,oldleetcode.json,Q00002,0.6,,
llama,keyboard,oldleetcode.json,Q00002,0.6,,
llama,keyboard,oldleetcode.json,Q00002,0.6,,
llama,keyboard,oldleetcode.json,Q00002,0.65,,
llama,keyboard,oldleetcode.json,Q00002,0.65,,
llama,keyboard,oldleetcode.json,Q00002,0.65,,
llama,keyboard,oldleetcode.json,Q00002,0.65,,
llama,keyboard,oldleetcode.json,Q00002,0.65,,
llama,keyboard,oldleetcode.json,Q00002,0.7,,
llama,keyboard,oldleetcode.json,Q00002,0.7,,
llama,keyboard,oldleetcode.json,Q00002,0.7,,
llama,keyboard,oldleetcode.json,Q00002,0.7,,
llama,keyboard,oldleetcode.json,Q00002,0.7,,
llama,keyboard,oldleetcode.json,Q00002,0.75,,
llama,keyboard,oldleetcode.json,Q00002,0.75,,
llama,keyboard,oldleetcode.json,Q00002,0.75,,
llama,keyboard,oldleetcode.json,Q00002,0.75,,
llama,keyboard,oldleetcode.json,Q00002,0.75,,
llama,keyboard,oldleetcode.json,Q00002,0.8,0.4280000000000004,0.9671357870101929
llama,keyboard,oldleetcode.json,Q00002,0.8,,
llama,keyboard,oldleetcode.json,Q00002,0.8,,
llama,keyboard,oldleetcode.json,Q00002,0.8,,
llama,keyboard,oldleetcode.json,Q00002,0.8,,
llama,keyboard,oldleetcode.json,Q00002,0.85,,
llama,keyboard,oldleetcode.json,Q00002,0.85,,
llama,keyboard,oldleetcode.json,Q00002,0.85,,
llama,keyboard,oldleetcode.json,Q00002,0.85,,
llama,keyboard,oldleetcode.json,Q00002,0.85,,
llama,keyboard,oldleetcode.json,Q00002,0.9,,
llama,keyboard,oldleetcode.json,Q00002,0.9,,
llama,keyboard,oldleetcode.json,Q00002,0.9,,
llama,keyboard,oldleetcode.json,Q00002,0.9,,
llama,keyboard,oldleetcode.json,Q00002,0.9,,
llama,keyboard,oldleetcode.json,Q00002,0.95,,
llama,keyboard,oldleetcode.json,Q00002,0.95,,
llama,keyboard,oldleetcode.json,Q00002,0.95,,
llama,keyboard,oldleetcode.json,Q00002,0.95,,
llama,keyboard,oldleetcode.json,Q00002,0.95,,
llama,keyboard,oldleetcode.json,Q00002,1.0,0.37256548856548877,0.9674354791641235
llama,keyboard,oldleetcode.json,Q00002,1.0,,
llama,keyboard,oldleetcode.json,Q00002,1.0,,
llama,keyboard,oldleetcode.json,Q00002,1.0,,
llama,keyboard,oldleetcode.json,Q00002,1.0,,
