model,method,dataset,task,augmentation_rate,tsed_score,bert_score
llama,keyboard,ourdataset.json,Q00003,0.0,0.3832470471403129,0.9721932411193848
llama,keyboard,ourdataset.json,Q00003,0.0,0.4195613799092833,0.9768149256706238
llama,keyboard,ourdataset.json,Q00003,0.0,0.46290811775201135,0.9763045310974121
llama,keyboard,ourdataset.json,Q00003,0.0,0.42918238676507603,0.9764652252197266
llama,keyboard,ourdataset.json,Q00003,0.0,0.4332108828495979,0.0
llama,keyboard,ourdataset.json,Q00003,0.05,,
llama,keyboard,ourdataset.json,Q00003,0.05,,
llama,keyboard,ourdataset.json,Q00003,0.05,,
llama,keyboard,ourdataset.json,Q00003,0.05,,
llama,keyboard,ourdataset.json,Q00003,0.05,,
llama,keyboard,ourdataset.json,Q00003,0.1,0.317798789763548,0.9761398434638977
llama,keyboard,ourdataset.json,Q00003,0.1,0.31457391304348237,0.9609580039978027
llama,keyboard,ourdataset.json,Q00003,0.1,0.3631842801597444,0.9751664996147156
llama,keyboard,ourdataset.json,Q00003,0.1,0.28901874656150406,0.9756261110305786
llama,keyboard,ourdataset.json,Q00003,0.1,0.3980572419774512,0.0
llama,keyboard,ourdataset.json,Q00003,0.15,,
llama,keyboard,ourdataset.json,Q00003,0.15,,
llama,keyboard,ourdataset.json,Q00003,0.15,,
llama,keyboard,ourdataset.json,Q00003,0.15,,
llama,keyboard,ourdataset.json,Q00003,0.15,,
llama,keyboard,ourdataset.json,Q00003,0.2,0.30486283827490157,0.9711775779724121
llama,keyboard,ourdataset.json,Q00003,0.2,0.32281731474688824,0.9605945348739624
llama,keyboard,ourdataset.json,Q00003,0.2,0.2855334980007863,0.9630629420280457
llama,keyboard,ourdataset.json,Q00003,0.2,0.38238800371906956,0.0
llama,keyboard,ourdataset.json,Q00003,0.2,0.37456155890168424,0.0
llama,keyboard,ourdataset.json,Q00003,0.25,,
llama,keyboard,ourdataset.json,Q00003,0.25,,
llama,keyboard,ourdataset.json,Q00003,0.25,,
llama,keyboard,ourdataset.json,Q00003,0.25,,
llama,keyboard,ourdataset.json,Q00003,0.25,,
llama,keyboard,ourdataset.json,Q00003,0.3,0.2823492620785453,0.9709291458129883
llama,keyboard,ourdataset.json,Q00003,0.3,0.2703356799669931,0.9690667986869812
llama,keyboard,ourdataset.json,Q00003,0.3,0.2534690245467893,0.9669510722160339
llama,keyboard,ourdataset.json,Q00003,0.3,0.30605294070888006,0.9723713994026184
llama,keyboard,ourdataset.json,Q00003,0.3,0.27688254254119593,0.9633255004882812
llama,keyboard,ourdataset.json,Q00003,0.35,,
llama,keyboard,ourdataset.json,Q00003,0.35,,
llama,keyboard,ourdataset.json,Q00003,0.35,,
llama,keyboard,ourdataset.json,Q00003,0.35,,
llama,keyboard,ourdataset.json,Q00003,0.35,,
llama,keyboard,ourdataset.json,Q00003,0.4,0.27689562890277075,0.9527023434638977
llama,keyboard,ourdataset.json,Q00003,0.4,0.2868366899830803,0.9701523780822754
llama,keyboard,ourdataset.json,Q00003,0.4,0.24534325143004104,0.9600111246109009
llama,keyboard,ourdataset.json,Q00003,0.4,0.2046585806635476,0.9561877250671387
llama,keyboard,ourdataset.json,Q00003,0.4,0.23578581822245984,0.0
llama,keyboard,ourdataset.json,Q00003,0.45,,
llama,keyboard,ourdataset.json,Q00003,0.45,,
llama,keyboard,ourdataset.json,Q00003,0.45,,
llama,keyboard,ourdataset.json,Q00003,0.45,,
llama,keyboard,ourdataset.json,Q00003,0.45,,
llama,keyboard,ourdataset.json,Q00003,0.5,0.28178139583126094,0.9707887768745422
llama,keyboard,ourdataset.json,Q00003,0.5,0.2734049661549375,0.9710456728935242
llama,keyboard,ourdataset.json,Q00003,0.5,0.28729089540398794,0.9706254005432129
llama,keyboard,ourdataset.json,Q00003,0.5,0.27760888108601045,0.9688485264778137
llama,keyboard,ourdataset.json,Q00003,0.5,0.29162023849817204,0.0
llama,keyboard,ourdataset.json,Q00003,0.55,,
llama,keyboard,ourdataset.json,Q00003,0.55,,
llama,keyboard,ourdataset.json,Q00003,0.55,,
llama,keyboard,ourdataset.json,Q00003,0.55,,
llama,keyboard,ourdataset.json,Q00003,0.55,,
llama,keyboard,ourdataset.json,Q00003,0.6,0.086046949947667,0.9565544128417969
llama,keyboard,ourdataset.json,Q00003,0.6,0.086046949947667,0.9564396739006042
llama,keyboard,ourdataset.json,Q00003,0.6,0.08592116684651425,0.9573810696601868
llama,keyboard,ourdataset.json,Q00003,0.6,0.08592116684651425,0.9573810696601868
llama,keyboard,ourdataset.json,Q00003,0.6,0.086046949947667,0.9564396739006042
llama,keyboard,ourdataset.json,Q00003,0.65,,
llama,keyboard,ourdataset.json,Q00003,0.65,,
llama,keyboard,ourdataset.json,Q00003,0.65,,
llama,keyboard,ourdataset.json,Q00003,0.65,,
llama,keyboard,ourdataset.json,Q00003,0.65,,
llama,keyboard,ourdataset.json,Q00003,0.7,0.13057624395954534,0.9579492807388306
llama,keyboard,ourdataset.json,Q00003,0.7,0.14483491167170212,0.9615867733955383
llama,keyboard,ourdataset.json,Q00003,0.7,0.17531221297096106,0.9613410830497742
llama,keyboard,ourdataset.json,Q00003,0.7,0.16793359947622247,0.9610897898674011
llama,keyboard,ourdataset.json,Q00003,0.7,0.21559193518619385,0.9554816484451294
llama,keyboard,ourdataset.json,Q00003,0.75,,
llama,keyboard,ourdataset.json,Q00003,0.75,,
llama,keyboard,ourdataset.json,Q00003,0.75,,
llama,keyboard,ourdataset.json,Q00003,0.75,,
llama,keyboard,ourdataset.json,Q00003,0.75,,
llama,keyboard,ourdataset.json,Q00003,0.8,0.05353582389982536,0.9422208666801453
llama,keyboard,ourdataset.json,Q00003,0.8,0.05353582389982536,0.9422208666801453
llama,keyboard,ourdataset.json,Q00003,0.8,0.05353582389982536,0.9422208666801453
llama,keyboard,ourdataset.json,Q00003,0.8,0.0956247093117657,0.9577627182006836
llama,keyboard,ourdataset.json,Q00003,0.8,0.08098594247384124,0.9535199403762817
llama,keyboard,ourdataset.json,Q00003,0.85,,
llama,keyboard,ourdataset.json,Q00003,0.85,,
llama,keyboard,ourdataset.json,Q00003,0.85,,
llama,keyboard,ourdataset.json,Q00003,0.85,,
llama,keyboard,ourdataset.json,Q00003,0.85,,
llama,keyboard,ourdataset.json,Q00003,0.9,0.05353582389982536,0.9474881887435913
llama,keyboard,ourdataset.json,Q00003,0.9,0.14096862727049725,0.9593417048454285
llama,keyboard,ourdataset.json,Q00003,0.9,0.14880503775525253,0.9611043930053711
