model,method,dataset,task,augmentation_rate,tsed_score,bert_score
llama,synonym,newleetcode.json,Q00003,0.0,0.9576470588235294,0.9972066879272461
llama,synonym,newleetcode.json,Q00003,0.0,0.8644705882352941,0.9920048713684082
llama,synonym,newleetcode.json,Q00003,0.0,0.9576470588235294,0.9952017068862915
llama,synonym,newleetcode.json,Q00003,0.0,0.9576470588235294,0.9972066879272461
llama,synonym,newleetcode.json,Q00003,0.0,0.9576470588235294,0.9972066879272461
llama,synonym,newleetcode.json,Q00003,0.05,,
llama,synonym,newleetcode.json,Q00003,0.05,,
llama,synonym,newleetcode.json,Q00003,0.05,,
llama,synonym,newleetcode.json,Q00003,0.05,,
llama,synonym,newleetcode.json,Q00003,0.05,,
llama,synonym,newleetcode.json,Q00003,0.1,0.4402317822651448,0.98228520154953
llama,synonym,newleetcode.json,Q00003,0.1,0.7375311676909571,0.9851053357124329
llama,synonym,newleetcode.json,Q00003,0.1,0.8644705882352941,0.9901272058486938
llama,synonym,newleetcode.json,Q00003,0.1,0.9576470588235294,0.9939869046211243
llama,synonym,newleetcode.json,Q00003,0.1,0.843382779198636,0.9912410974502563
llama,synonym,newleetcode.json,Q00003,0.15,,
llama,synonym,newleetcode.json,Q00003,0.15,,
llama,synonym,newleetcode.json,Q00003,0.15,,
llama,synonym,newleetcode.json,Q00003,0.15,,
llama,synonym,newleetcode.json,Q00003,0.15,,
llama,synonym,newleetcode.json,Q00003,0.2,0.8644705882352941,0.9920047521591187
llama,synonym,newleetcode.json,Q00003,0.2,0.8644705882352941,0.9920048713684082
llama,synonym,newleetcode.json,Q00003,0.2,0.9576470588235294,0.9918702244758606
llama,synonym,newleetcode.json,Q00003,0.2,0.9576470588235294,0.9919955134391785
llama,synonym,newleetcode.json,Q00003,0.2,0.8644705882352941,0.9920048713684082
llama,synonym,newleetcode.json,Q00003,0.25,,
llama,synonym,newleetcode.json,Q00003,0.25,,
llama,synonym,newleetcode.json,Q00003,0.25,,
llama,synonym,newleetcode.json,Q00003,0.25,,
llama,synonym,newleetcode.json,Q00003,0.25,,
llama,synonym,newleetcode.json,Q00003,0.3,0.9576470588235294,0.9901148080825806
llama,synonym,newleetcode.json,Q00003,0.3,0.9576470588235294,0.9939869046211243
llama,synonym,newleetcode.json,Q00003,0.3,0.7375311676909571,0.9851053357124329
llama,synonym,newleetcode.json,Q00003,0.3,0.7375311676909571,0.9851053357124329
llama,synonym,newleetcode.json,Q00003,0.3,0.7375311676909571,0.9851053357124329
llama,synonym,newleetcode.json,Q00003,0.35,,
llama,synonym,newleetcode.json,Q00003,0.35,,
llama,synonym,newleetcode.json,Q00003,0.35,,
llama,synonym,newleetcode.json,Q00003,0.35,,
llama,synonym,newleetcode.json,Q00003,0.35,,
llama,synonym,newleetcode.json,Q00003,0.4,0.9576470588235294,0.9922205209732056
llama,synonym,newleetcode.json,Q00003,0.4,0.9576470588235294,0.9901148080825806
llama,synonym,newleetcode.json,Q00003,0.4,0.9576470588235294,0.9901148080825806
llama,synonym,newleetcode.json,Q00003,0.4,0.9576470588235294,0.9901148080825806
llama,synonym,newleetcode.json,Q00003,0.4,0.9576470588235294,0.9901148080825806
llama,synonym,newleetcode.json,Q00003,0.45,,
llama,synonym,newleetcode.json,Q00003,0.45,,
llama,synonym,newleetcode.json,Q00003,0.45,,
llama,synonym,newleetcode.json,Q00003,0.45,,
llama,synonym,newleetcode.json,Q00003,0.45,,
llama,synonym,newleetcode.json,Q00003,0.5,0.6317611940298506,0.9741185307502747
llama,synonym,newleetcode.json,Q00003,0.5,0.6273684210526318,0.9831337928771973
llama,synonym,newleetcode.json,Q00003,0.5,0.6273684210526318,0.9831337928771973
llama,synonym,newleetcode.json,Q00003,0.5,0.9576470588235294,0.989948570728302
llama,synonym,newleetcode.json,Q00003,0.5,0.9576470588235294,0.989948570728302
llama,synonym,newleetcode.json,Q00003,0.55,,
llama,synonym,newleetcode.json,Q00003,0.55,,
llama,synonym,newleetcode.json,Q00003,0.55,,
llama,synonym,newleetcode.json,Q00003,0.55,,
llama,synonym,newleetcode.json,Q00003,0.55,,
llama,synonym,newleetcode.json,Q00003,0.6,0.5623188405797107,0.9829968214035034
llama,synonym,newleetcode.json,Q00003,0.6,0.9576470588235294,0.9921533465385437
llama,synonym,newleetcode.json,Q00003,0.6,0.9576470588235294,0.9921533465385437
llama,synonym,newleetcode.json,Q00003,0.6,0.9576470588235294,0.9892245531082153
llama,synonym,newleetcode.json,Q00003,0.6,0.6152380952380954,0.9764689207077026
llama,synonym,newleetcode.json,Q00003,0.65,,
llama,synonym,newleetcode.json,Q00003,0.65,,
llama,synonym,newleetcode.json,Q00003,0.65,,
llama,synonym,newleetcode.json,Q00003,0.65,,
llama,synonym,newleetcode.json,Q00003,0.65,,
llama,synonym,newleetcode.json,Q00003,0.7,0.5455319148936179,0.9846030473709106
llama,synonym,newleetcode.json,Q00003,0.7,0.9576470588235294,0.989948570728302
llama,synonym,newleetcode.json,Q00003,0.7,0.9576470588235294,0.989948570728302
llama,synonym,newleetcode.json,Q00003,0.7,0.41647058823529487,0.9776240587234497
llama,synonym,newleetcode.json,Q00003,0.7,0.9576470588235294,0.989948570728302
llama,synonym,newleetcode.json,Q00003,0.75,,
llama,synonym,newleetcode.json,Q00003,0.75,,
llama,synonym,newleetcode.json,Q00003,0.75,,
llama,synonym,newleetcode.json,Q00003,0.75,,
llama,synonym,newleetcode.json,Q00003,0.75,,
llama,synonym,newleetcode.json,Q00003,0.8,0.9576470588235294,0.9901148080825806
llama,synonym,newleetcode.json,Q00003,0.8,0.9576470588235294,0.9901148080825806
llama,synonym,newleetcode.json,Q00003,0.8,0.9576470588235294,0.9901148080825806
llama,synonym,newleetcode.json,Q00003,0.8,0.9576470588235294,0.9901148080825806
llama,synonym,newleetcode.json,Q00003,0.8,0.9576470588235294,0.9901148080825806
llama,synonym,newleetcode.json,Q00003,0.85,,
llama,synonym,newleetcode.json,Q00003,0.85,,
llama,synonym,newleetcode.json,Q00003,0.85,,
llama,synonym,newleetcode.json,Q00003,0.85,,
llama,synonym,newleetcode.json,Q00003,0.85,,
llama,synonym,newleetcode.json,Q00003,0.9,0.9576470588235294,0.9924612045288086
llama,synonym,newleetcode.json,Q00003,0.9,0.9576470588235294,0.9924612045288086
llama,synonym,newleetcode.json,Q00003,0.9,0.9576470588235294,0.9917430877685547
llama,synonym,newleetcode.json,Q00003,0.9,0.9576470588235294,0.993208110332489
llama,synonym,newleetcode.json,Q00003,0.9,0.7228865979381442,0.9884523153305054
llama,synonym,newleetcode.json,Q00003,0.95,,
llama,synonym,newleetcode.json,Q00003,0.95,,
llama,synonym,newleetcode.json,Q00003,0.95,,
llama,synonym,newleetcode.json,Q00003,0.95,,
llama,synonym,newleetcode.json,Q00003,0.95,,
llama,synonym,newleetcode.json,Q00003,1.0,0.8058920225624495,0.9853172302246094
llama,synonym,newleetcode.json,Q00003,1.0,0.867126510878324,0.9875022768974304
llama,synonym,newleetcode.json,Q00003,1.0,0.867126510878324,0.9875022768974304
llama,synonym,newleetcode.json,Q00003,1.0,0.867126510878324,0.9875022768974304
llama,synonym,newleetcode.json,Q00003,1.0,0.40248587570621597,0.9810686111450195
