model,method,dataset,task,augmentation_rate,tsed_score,bert_score
llama,synonym,oldleetcode.json,Q00004,0.0,0.8691139240506331,0.9951499104499817
llama,synonym,oldleetcode.json,Q00004,0.0,0.495696202531646,0.9909149408340454
llama,synonym,oldleetcode.json,Q00004,0.0,0.8691139240506331,0.9970773458480835
llama,synonym,oldleetcode.json,Q00004,0.0,0.8691139240506331,0.9968093037605286
llama,synonym,oldleetcode.json,Q00004,0.0,0.8691139240506331,0.9970773458480835
llama,synonym,oldleetcode.json,Q00004,0.05,,
llama,synonym,oldleetcode.json,Q00004,0.05,,
llama,synonym,oldleetcode.json,Q00004,0.05,,
llama,synonym,oldleetcode.json,Q00004,0.05,,
llama,synonym,oldleetcode.json,Q00004,0.05,,
llama,synonym,oldleetcode.json,Q00004,0.1,,
llama,synonym,oldleetcode.json,Q00004,0.1,,
llama,synonym,oldleetcode.json,Q00004,0.1,,
llama,synonym,oldleetcode.json,Q00004,0.1,,
llama,synonym,oldleetcode.json,Q00004,0.1,,
llama,synonym,oldleetcode.json,Q00004,0.15,,
llama,synonym,oldleetcode.json,Q00004,0.15,,
llama,synonym,oldleetcode.json,Q00004,0.15,,
llama,synonym,oldleetcode.json,Q00004,0.15,,
llama,synonym,oldleetcode.json,Q00004,0.15,,
llama,synonym,oldleetcode.json,Q00004,0.2,0.8691139240506331,0.9968093037605286
llama,synonym,oldleetcode.json,Q00004,0.2,0.8691139240506331,0.9968093037605286
llama,synonym,oldleetcode.json,Q00004,0.2,0.8691139240506331,0.9970773458480835
llama,synonym,oldleetcode.json,Q00004,0.2,0.8691139240506331,0.9970773458480835
llama,synonym,oldleetcode.json,Q00004,0.2,0.8691139240506331,0.9968093037605286
llama,synonym,oldleetcode.json,Q00004,0.25,,
llama,synonym,oldleetcode.json,Q00004,0.25,,
llama,synonym,oldleetcode.json,Q00004,0.25,,
llama,synonym,oldleetcode.json,Q00004,0.25,,
llama,synonym,oldleetcode.json,Q00004,0.25,,
llama,synonym,oldleetcode.json,Q00004,0.3,,
llama,synonym,oldleetcode.json,Q00004,0.3,,
llama,synonym,oldleetcode.json,Q00004,0.3,,
llama,synonym,oldleetcode.json,Q00004,0.3,,
llama,synonym,oldleetcode.json,Q00004,0.3,,
llama,synonym,oldleetcode.json,Q00004,0.35,,
llama,synonym,oldleetcode.json,Q00004,0.35,,
llama,synonym,oldleetcode.json,Q00004,0.35,,
llama,synonym,oldleetcode.json,Q00004,0.35,,
llama,synonym,oldleetcode.json,Q00004,0.35,,
llama,synonym,oldleetcode.json,Q00004,0.4,0.8691139240506331,0.9970773458480835
llama,synonym,oldleetcode.json,Q00004,0.4,0.8691139240506331,0.9968093037605286
llama,synonym,oldleetcode.json,Q00004,0.4,0.8691139240506331,0.995204746723175
llama,synonym,oldleetcode.json,Q00004,0.4,0.8691139240506331,0.9967902302742004
llama,synonym,oldleetcode.json,Q00004,0.4,0.8691139240506331,0.9970773458480835
llama,synonym,oldleetcode.json,Q00004,0.45,,
llama,synonym,oldleetcode.json,Q00004,0.45,,
llama,synonym,oldleetcode.json,Q00004,0.45,,
llama,synonym,oldleetcode.json,Q00004,0.45,,
llama,synonym,oldleetcode.json,Q00004,0.45,,
llama,synonym,oldleetcode.json,Q00004,0.5,,
llama,synonym,oldleetcode.json,Q00004,0.5,,
llama,synonym,oldleetcode.json,Q00004,0.5,,
llama,synonym,oldleetcode.json,Q00004,0.5,,
llama,synonym,oldleetcode.json,Q00004,0.5,,
llama,synonym,oldleetcode.json,Q00004,0.55,,
llama,synonym,oldleetcode.json,Q00004,0.55,,
llama,synonym,oldleetcode.json,Q00004,0.55,,
llama,synonym,oldleetcode.json,Q00004,0.55,,
llama,synonym,oldleetcode.json,Q00004,0.55,,
llama,synonym,oldleetcode.json,Q00004,0.6,0.8691139240506331,0.9970773458480835
llama,synonym,oldleetcode.json,Q00004,0.6,0.8691139240506331,0.9970773458480835
llama,synonym,oldleetcode.json,Q00004,0.6,0.8691139240506331,0.9967902302742004
llama,synonym,oldleetcode.json,Q00004,0.6,0.8691139240506331,0.9953488111495972
llama,synonym,oldleetcode.json,Q00004,0.6,0.8691139240506331,0.9968093037605286
llama,synonym,oldleetcode.json,Q00004,0.65,,
llama,synonym,oldleetcode.json,Q00004,0.65,,
llama,synonym,oldleetcode.json,Q00004,0.65,,
llama,synonym,oldleetcode.json,Q00004,0.65,,
llama,synonym,oldleetcode.json,Q00004,0.65,,
llama,synonym,oldleetcode.json,Q00004,0.7,,
llama,synonym,oldleetcode.json,Q00004,0.7,,
llama,synonym,oldleetcode.json,Q00004,0.7,,
llama,synonym,oldleetcode.json,Q00004,0.7,,
llama,synonym,oldleetcode.json,Q00004,0.7,,
llama,synonym,oldleetcode.json,Q00004,0.75,,
llama,synonym,oldleetcode.json,Q00004,0.75,,
llama,synonym,oldleetcode.json,Q00004,0.75,,
llama,synonym,oldleetcode.json,Q00004,0.75,,
llama,synonym,oldleetcode.json,Q00004,0.75,,
llama,synonym,oldleetcode.json,Q00004,0.8,0.8691139240506331,0.9967902302742004
llama,synonym,oldleetcode.json,Q00004,0.8,0.8691139240506331,0.9968093037605286
llama,synonym,oldleetcode.json,Q00004,0.8,0.8691139240506331,0.9968093037605286
llama,synonym,oldleetcode.json,Q00004,0.8,0.8691139240506331,0.9967902302742004
llama,synonym,oldleetcode.json,Q00004,0.8,0.8691139240506331,0.9967902302742004
llama,synonym,oldleetcode.json,Q00004,0.85,,
llama,synonym,oldleetcode.json,Q00004,0.85,,
llama,synonym,oldleetcode.json,Q00004,0.85,,
llama,synonym,oldleetcode.json,Q00004,0.85,,
llama,synonym,oldleetcode.json,Q00004,0.85,,
llama,synonym,oldleetcode.json,Q00004,0.9,,
llama,synonym,oldleetcode.json,Q00004,0.9,,
llama,synonym,oldleetcode.json,Q00004,0.9,,
llama,synonym,oldleetcode.json,Q00004,0.9,,
llama,synonym,oldleetcode.json,Q00004,0.9,,
llama,synonym,oldleetcode.json,Q00004,0.95,,
llama,synonym,oldleetcode.json,Q00004,0.95,,
llama,synonym,oldleetcode.json,Q00004,0.95,,
llama,synonym,oldleetcode.json,Q00004,0.95,,
llama,synonym,oldleetcode.json,Q00004,0.95,,
llama,synonym,oldleetcode.json,Q00004,1.0,0.5133794736362807,0.9797159433364868
llama,synonym,oldleetcode.json,Q00004,1.0,0.718363299201806,0.993797779083252
llama,synonym,oldleetcode.json,Q00004,1.0,0.67123595505618,0.9913758039474487
llama,synonym,oldleetcode.json,Q00004,1.0,0.6606521739130435,0.9907007217407227
llama,synonym,oldleetcode.json,Q00004,1.0,0.6606521739130435,0.9907007217407227
