model,method,dataset,task,augmentation_rate,tsed_score,bert_score
llama,synonym,ourdataset.json,Q00018,0.0,0.7130203016989298,0.9934921264648438
llama,synonym,ourdataset.json,Q00018,0.0,,
llama,synonym,ourdataset.json,Q00018,0.0,,
llama,synonym,ourdataset.json,Q00018,0.0,,
llama,synonym,ourdataset.json,Q00018,0.0,,
llama,synonym,ourdataset.json,Q00018,0.05,,
llama,synonym,ourdataset.json,Q00018,0.05,,
llama,synonym,ourdataset.json,Q00018,0.05,,
llama,synonym,ourdataset.json,Q00018,0.05,,
llama,synonym,ourdataset.json,Q00018,0.05,,
llama,synonym,ourdataset.json,Q00018,0.1,,
llama,synonym,ourdataset.json,Q00018,0.1,,
llama,synonym,ourdataset.json,Q00018,0.1,,
llama,synonym,ourdataset.json,Q00018,0.1,,
llama,synonym,ourdataset.json,Q00018,0.1,,
llama,synonym,ourdataset.json,Q00018,0.15,,
llama,synonym,ourdataset.json,Q00018,0.15,,
llama,synonym,ourdataset.json,Q00018,0.15,,
llama,synonym,ourdataset.json,Q00018,0.15,,
llama,synonym,ourdataset.json,Q00018,0.15,,
llama,synonym,ourdataset.json,Q00018,0.2,0.4402342549747077,0.983234703540802
llama,synonym,ourdataset.json,Q00018,0.2,,
llama,synonym,ourdataset.json,Q00018,0.2,,
llama,synonym,ourdataset.json,Q00018,0.2,,
llama,synonym,ourdataset.json,Q00018,0.2,,
llama,synonym,ourdataset.json,Q00018,0.25,,
llama,synonym,ourdataset.json,Q00018,0.25,,
llama,synonym,ourdataset.json,Q00018,0.25,,
llama,synonym,ourdataset.json,Q00018,0.25,,
llama,synonym,ourdataset.json,Q00018,0.25,,
llama,synonym,ourdataset.json,Q00018,0.3,,
llama,synonym,ourdataset.json,Q00018,0.3,,
llama,synonym,ourdataset.json,Q00018,0.3,,
llama,synonym,ourdataset.json,Q00018,0.3,,
llama,synonym,ourdataset.json,Q00018,0.3,,
llama,synonym,ourdataset.json,Q00018,0.35,,
llama,synonym,ourdataset.json,Q00018,0.35,,
