model,method,dataset,task,augmentation_rate,tsed_score,bert_score
openai,keyboard,oldleetcode.json,Q00008,0.0,1.0,0.9999998807907104
openai,keyboard,oldleetcode.json,Q00008,0.0,,
openai,keyboard,oldleetcode.json,Q00008,0.0,,
openai,keyboard,oldleetcode.json,Q00008,0.0,,
openai,keyboard,oldleetcode.json,Q00008,0.0,,
openai,keyboard,oldleetcode.json,Q00008,0.05,,
openai,keyboard,oldleetcode.json,Q00008,0.05,,
openai,keyboard,oldleetcode.json,Q00008,0.05,,
openai,keyboard,oldleetcode.json,Q00008,0.05,,
openai,keyboard,oldleetcode.json,Q00008,0.05,,
openai,keyboard,oldleetcode.json,Q00008,0.1,,
openai,keyboard,oldleetcode.json,Q00008,0.1,,
openai,keyboard,oldleetcode.json,Q00008,0.1,,
openai,keyboard,oldleetcode.json,Q00008,0.1,,
openai,keyboard,oldleetcode.json,Q00008,0.1,,
openai,keyboard,oldleetcode.json,Q00008,0.15,,
openai,keyboard,oldleetcode.json,Q00008,0.15,,
openai,keyboard,oldleetcode.json,Q00008,0.15,,
openai,keyboard,oldleetcode.json,Q00008,0.15,,
openai,keyboard,oldleetcode.json,Q00008,0.15,,
openai,keyboard,oldleetcode.json,Q00008,0.2,0.890625,0.9959270358085632
openai,keyboard,oldleetcode.json,Q00008,0.2,,
openai,keyboard,oldleetcode.json,Q00008,0.2,,
openai,keyboard,oldleetcode.json,Q00008,0.2,,
openai,keyboard,oldleetcode.json,Q00008,0.2,,
openai,keyboard,oldleetcode.json,Q00008,0.25,,
openai,keyboard,oldleetcode.json,Q00008,0.25,,
openai,keyboard,oldleetcode.json,Q00008,0.25,,
openai,keyboard,oldleetcode.json,Q00008,0.25,,
openai,keyboard,oldleetcode.json,Q00008,0.25,,
openai,keyboard,oldleetcode.json,Q00008,0.3,,
openai,keyboard,oldleetcode.json,Q00008,0.3,,
openai,keyboard,oldleetcode.json,Q00008,0.3,,
openai,keyboard,oldleetcode.json,Q00008,0.3,,
openai,keyboard,oldleetcode.json,Q00008,0.3,,
openai,keyboard,oldleetcode.json,Q00008,0.35,,
openai,keyboard,oldleetcode.json,Q00008,0.35,,
openai,keyboard,oldleetcode.json,Q00008,0.35,,
openai,keyboard,oldleetcode.json,Q00008,0.35,,
openai,keyboard,oldleetcode.json,Q00008,0.35,,
openai,keyboard,oldleetcode.json,Q00008,0.4,0.17971014492753642,0.9644777178764343
openai,keyboard,oldleetcode.json,Q00008,0.4,,
openai,keyboard,oldleetcode.json,Q00008,0.4,,
openai,keyboard,oldleetcode.json,Q00008,0.4,,
openai,keyboard,oldleetcode.json,Q00008,0.4,,
openai,keyboard,oldleetcode.json,Q00008,0.45,,
openai,keyboard,oldleetcode.json,Q00008,0.45,,
openai,keyboard,oldleetcode.json,Q00008,0.45,,
openai,keyboard,oldleetcode.json,Q00008,0.45,,
openai,keyboard,oldleetcode.json,Q00008,0.45,,
openai,keyboard,oldleetcode.json,Q00008,0.5,,
openai,keyboard,oldleetcode.json,Q00008,0.5,,
openai,keyboard,oldleetcode.json,Q00008,0.5,,
openai,keyboard,oldleetcode.json,Q00008,0.5,,
openai,keyboard,oldleetcode.json,Q00008,0.5,,
openai,keyboard,oldleetcode.json,Q00008,0.55,,
openai,keyboard,oldleetcode.json,Q00008,0.55,,
openai,keyboard,oldleetcode.json,Q00008,0.55,,
openai,keyboard,oldleetcode.json,Q00008,0.55,,
openai,keyboard,oldleetcode.json,Q00008,0.55,,
openai,keyboard,oldleetcode.json,Q00008,0.6,0.2232142857142861,0.9591933488845825
openai,keyboard,oldleetcode.json,Q00008,0.6,,
openai,keyboard,oldleetcode.json,Q00008,0.6,,
openai,keyboard,oldleetcode.json,Q00008,0.6,,
openai,keyboard,oldleetcode.json,Q00008,0.6,,
openai,keyboard,oldleetcode.json,Q00008,0.65,,
openai,keyboard,oldleetcode.json,Q00008,0.65,,
openai,keyboard,oldleetcode.json,Q00008,0.65,,
openai,keyboard,oldleetcode.json,Q00008,0.65,,
openai,keyboard,oldleetcode.json,Q00008,0.65,,
openai,keyboard,oldleetcode.json,Q00008,0.7,,
openai,keyboard,oldleetcode.json,Q00008,0.7,,
openai,keyboard,oldleetcode.json,Q00008,0.7,,
openai,keyboard,oldleetcode.json,Q00008,0.7,,
openai,keyboard,oldleetcode.json,Q00008,0.7,,
openai,keyboard,oldleetcode.json,Q00008,0.75,,
openai,keyboard,oldleetcode.json,Q00008,0.75,,
openai,keyboard,oldleetcode.json,Q00008,0.75,,
openai,keyboard,oldleetcode.json,Q00008,0.75,,
openai,keyboard,oldleetcode.json,Q00008,0.75,,
openai,keyboard,oldleetcode.json,Q00008,0.8,0.21666666666666692,0.9626778364181519
openai,keyboard,oldleetcode.json,Q00008,0.8,,
openai,keyboard,oldleetcode.json,Q00008,0.8,,
openai,keyboard,oldleetcode.json,Q00008,0.8,,
openai,keyboard,oldleetcode.json,Q00008,0.8,,
openai,keyboard,oldleetcode.json,Q00008,0.85,,
openai,keyboard,oldleetcode.json,Q00008,0.85,,
openai,keyboard,oldleetcode.json,Q00008,0.85,,
openai,keyboard,oldleetcode.json,Q00008,0.85,,
openai,keyboard,oldleetcode.json,Q00008,0.85,,
openai,keyboard,oldleetcode.json,Q00008,0.9,,
openai,keyboard,oldleetcode.json,Q00008,0.9,,
openai,keyboard,oldleetcode.json,Q00008,0.9,,
openai,keyboard,oldleetcode.json,Q00008,0.9,,
openai,keyboard,oldleetcode.json,Q00008,0.9,,
openai,keyboard,oldleetcode.json,Q00008,0.95,,
openai,keyboard,oldleetcode.json,Q00008,0.95,,
openai,keyboard,oldleetcode.json,Q00008,0.95,,
openai,keyboard,oldleetcode.json,Q00008,0.95,,
openai,keyboard,oldleetcode.json,Q00008,0.95,,
openai,keyboard,oldleetcode.json,Q00008,1.0,0.21935483870967812,0.9614819288253784
openai,keyboard,oldleetcode.json,Q00008,1.0,,
openai,keyboard,oldleetcode.json,Q00008,1.0,,
openai,keyboard,oldleetcode.json,Q00008,1.0,,
openai,keyboard,oldleetcode.json,Q00008,1.0,,
