model,method,dataset,task,augmentation_rate,tsed_score,bert_score
openai,keyboard,ourdataset.json,Q00014,0.0,0.9901068702290076,0.9985731244087219
openai,keyboard,ourdataset.json,Q00014,0.0,0.9901068702290076,0.9985061883926392
openai,keyboard,ourdataset.json,Q00014,0.0,0.9851603053435113,0.9984878301620483
openai,keyboard,ourdataset.json,Q00014,0.0,0.9901068702290076,0.9985061883926392
openai,keyboard,ourdataset.json,Q00014,0.0,0.9851603053435113,0.9984878301620483
openai,keyboard,ourdataset.json,Q00014,0.05,,
openai,keyboard,ourdataset.json,Q00014,0.05,,
openai,keyboard,ourdataset.json,Q00014,0.05,,
openai,keyboard,ourdataset.json,Q00014,0.05,,
openai,keyboard,ourdataset.json,Q00014,0.05,,
openai,keyboard,ourdataset.json,Q00014,0.1,0.9901068702290076,0.9985061883926392
openai,keyboard,ourdataset.json,Q00014,0.1,0.9901068702290076,0.9985731244087219
openai,keyboard,ourdataset.json,Q00014,0.1,0.9901068702290076,0.9985061883926392
openai,keyboard,ourdataset.json,Q00014,0.1,0.9901068702290076,0.9985731244087219
openai,keyboard,ourdataset.json,Q00014,0.1,0.9901068702290076,0.9985061883926392
openai,keyboard,ourdataset.json,Q00014,0.15,,
openai,keyboard,ourdataset.json,Q00014,0.15,,
openai,keyboard,ourdataset.json,Q00014,0.15,,
openai,keyboard,ourdataset.json,Q00014,0.15,,
openai,keyboard,ourdataset.json,Q00014,0.15,,
openai,keyboard,ourdataset.json,Q00014,0.2,0.9851603053435113,0.9984878301620483
openai,keyboard,ourdataset.json,Q00014,0.2,0.9851603053435113,0.9984878301620483
openai,keyboard,ourdataset.json,Q00014,0.2,0.9851603053435113,0.9984878301620483
openai,keyboard,ourdataset.json,Q00014,0.2,0.9851603053435113,0.9984878301620483
openai,keyboard,ourdataset.json,Q00014,0.2,0.9851603053435113,0.9984878301620483
openai,keyboard,ourdataset.json,Q00014,0.25,,
openai,keyboard,ourdataset.json,Q00014,0.25,,
openai,keyboard,ourdataset.json,Q00014,0.25,,
openai,keyboard,ourdataset.json,Q00014,0.25,,
openai,keyboard,ourdataset.json,Q00014,0.25,,
openai,keyboard,ourdataset.json,Q00014,0.3,0.8972824427480918,0.9951011538505554
openai,keyboard,ourdataset.json,Q00014,0.3,0.8972824427480918,0.9951011538505554
openai,keyboard,ourdataset.json,Q00014,0.3,0.8972824427480918,0.9951575994491577
openai,keyboard,ourdataset.json,Q00014,0.3,0.8972824427480918,0.9951575994491577
openai,keyboard,ourdataset.json,Q00014,0.3,0.8972824427480918,0.9951575994491577
openai,keyboard,ourdataset.json,Q00014,0.35,,
openai,keyboard,ourdataset.json,Q00014,0.35,,
openai,keyboard,ourdataset.json,Q00014,0.35,,
openai,keyboard,ourdataset.json,Q00014,0.35,,
openai,keyboard,ourdataset.json,Q00014,0.35,,
openai,keyboard,ourdataset.json,Q00014,0.4,0.9851603053435113,0.9984878301620483
openai,keyboard,ourdataset.json,Q00014,0.4,0.9851603053435113,0.9984878301620483
openai,keyboard,ourdataset.json,Q00014,0.4,0.9851603053435113,0.9984878301620483
openai,keyboard,ourdataset.json,Q00014,0.4,0.9851603053435113,0.9984878301620483
openai,keyboard,ourdataset.json,Q00014,0.4,0.9851603053435113,0.9984878301620483
openai,keyboard,ourdataset.json,Q00014,0.45,,
openai,keyboard,ourdataset.json,Q00014,0.45,,
openai,keyboard,ourdataset.json,Q00014,0.45,,
openai,keyboard,ourdataset.json,Q00014,0.45,,
openai,keyboard,ourdataset.json,Q00014,0.45,,
openai,keyboard,ourdataset.json,Q00014,0.5,0.20006106870228962,0.9681946039199829
openai,keyboard,ourdataset.json,Q00014,0.5,0.19157251908396872,0.9697490930557251
openai,keyboard,ourdataset.json,Q00014,0.5,0.22149618320610606,0.9686388969421387
openai,keyboard,ourdataset.json,Q00014,0.5,0.18687022900763273,0.9697490930557251
openai,keyboard,ourdataset.json,Q00014,0.5,0.18687022900763273,0.9697490930557251
openai,keyboard,ourdataset.json,Q00014,0.55,,
openai,keyboard,ourdataset.json,Q00014,0.55,,
openai,keyboard,ourdataset.json,Q00014,0.55,,
openai,keyboard,ourdataset.json,Q00014,0.55,,
openai,keyboard,ourdataset.json,Q00014,0.55,,
openai,keyboard,ourdataset.json,Q00014,0.6,0.08427480916030541,0.9646221399307251
openai,keyboard,ourdataset.json,Q00014,0.6,0.08916030534351167,0.9630410075187683
openai,keyboard,ourdataset.json,Q00014,0.6,0.0909923664122138,0.9627583622932434
openai,keyboard,ourdataset.json,Q00014,0.6,0.09099236641221384,0.9628478288650513
openai,keyboard,ourdataset.json,Q00014,0.6,0.09099236641221384,0.9628478288650513
openai,keyboard,ourdataset.json,Q00014,0.65,,
openai,keyboard,ourdataset.json,Q00014,0.65,,
openai,keyboard,ourdataset.json,Q00014,0.65,,
openai,keyboard,ourdataset.json,Q00014,0.65,,
openai,keyboard,ourdataset.json,Q00014,0.65,,
openai,keyboard,ourdataset.json,Q00014,0.7,0.07389312977099285,0.9586191177368164
openai,keyboard,ourdataset.json,Q00014,0.7,0.07389312977099285,0.9586191177368164
openai,keyboard,ourdataset.json,Q00014,0.7,0.07389312977099285,0.9586191177368164
openai,keyboard,ourdataset.json,Q00014,0.7,0.07572519083969469,0.9607914686203003
openai,keyboard,ourdataset.json,Q00014,0.7,0.07053435114503859,0.9582155346870422
openai,keyboard,ourdataset.json,Q00014,0.75,,
openai,keyboard,ourdataset.json,Q00014,0.75,,
openai,keyboard,ourdataset.json,Q00014,0.75,,
openai,keyboard,ourdataset.json,Q00014,0.75,,
openai,keyboard,ourdataset.json,Q00014,0.75,,
openai,keyboard,ourdataset.json,Q00014,0.8,0.07389312977099291,0.9578863382339478
openai,keyboard,ourdataset.json,Q00014,0.8,0.08580152671755784,0.9591566324234009
openai,keyboard,ourdataset.json,Q00014,0.8,0.08763358778626003,0.958380401134491
openai,keyboard,ourdataset.json,Q00014,0.8,0.08763358778626003,0.958380401134491
openai,keyboard,ourdataset.json,Q00014,0.8,0.07572519083969528,0.9589546322822571
openai,keyboard,ourdataset.json,Q00014,0.85,,
openai,keyboard,ourdataset.json,Q00014,0.85,,
openai,keyboard,ourdataset.json,Q00014,0.85,,
openai,keyboard,ourdataset.json,Q00014,0.85,,
openai,keyboard,ourdataset.json,Q00014,0.85,,
openai,keyboard,ourdataset.json,Q00014,0.9,0.07083969465648911,0.9592269062995911
openai,keyboard,ourdataset.json,Q00014,0.9,0.08488549618320654,0.9639183878898621
openai,keyboard,ourdataset.json,Q00014,0.9,0.03584732824427532,0.9503780603408813
openai,keyboard,ourdataset.json,Q00014,0.9,0.11414098775857502,0.9435828328132629
