model,method,dataset,task,augmentation_rate,tsed_score,bert_score
openai,paraphraser,ourdataset.json,Q00004,0.0,0.9812571428571429,0.9987984895706177
openai,paraphraser,ourdataset.json,Q00004,0.0,0.9725714285714286,0.9981976747512817
openai,paraphraser,ourdataset.json,Q00004,0.0,0.9725714285714286,0.9981976747512817
openai,paraphraser,ourdataset.json,Q00004,0.0,0.9812571428571429,0.9987984895706177
openai,paraphraser,ourdataset.json,Q00004,0.0,0.9812571428571429,0.9987984895706177
openai,paraphraser,ourdataset.json,Q00004,0.25,,
openai,paraphraser,ourdataset.json,Q00004,0.25,,
openai,paraphraser,ourdataset.json,Q00004,0.25,,
openai,paraphraser,ourdataset.json,Q00004,0.25,,
openai,paraphraser,ourdataset.json,Q00004,0.25,,
openai,paraphraser,ourdataset.json,Q00004,0.6,0.5858524173027992,0.988408088684082
openai,paraphraser,ourdataset.json,Q00004,0.6,0.4709610389610387,0.9886080026626587
openai,paraphraser,ourdataset.json,Q00004,0.6,0.534266365688487,0.9865050315856934
openai,paraphraser,ourdataset.json,Q00004,0.6,0.4709610389610387,0.9886080026626587
openai,paraphraser,ourdataset.json,Q00004,0.6,0.5858524173027992,0.9882127046585083
openai,paraphraser,ourdataset.json,Q00004,0.9,,
openai,paraphraser,ourdataset.json,Q00004,0.9,,
openai,paraphraser,ourdataset.json,Q00004,0.9,,
openai,paraphraser,ourdataset.json,Q00004,0.9,,
openai,paraphraser,ourdataset.json,Q00004,0.9,,
