model,method,dataset,task,augmentation_rate,tsed_score,bert_score
openai,synonym,newleetcode.json,Q00016,0.0,0.9002141623488775,0.9962894320487976
openai,synonym,newleetcode.json,Q00016,0.0,,
openai,synonym,newleetcode.json,Q00016,0.0,,
openai,synonym,newleetcode.json,Q00016,0.0,,
openai,synonym,newleetcode.json,Q00016,0.0,,
openai,synonym,newleetcode.json,Q00016,0.05,,
openai,synonym,newleetcode.json,Q00016,0.05,,
openai,synonym,newleetcode.json,Q00016,0.05,,
openai,synonym,newleetcode.json,Q00016,0.05,,
openai,synonym,newleetcode.json,Q00016,0.05,,
openai,synonym,newleetcode.json,Q00016,0.1,,
openai,synonym,newleetcode.json,Q00016,0.1,,
openai,synonym,newleetcode.json,Q00016,0.1,,
openai,synonym,newleetcode.json,Q00016,0.1,,
openai,synonym,newleetcode.json,Q00016,0.1,,
openai,synonym,newleetcode.json,Q00016,0.15,,
openai,synonym,newleetcode.json,Q00016,0.15,,
openai,synonym,newleetcode.json,Q00016,0.15,,
openai,synonym,newleetcode.json,Q00016,0.15,,
openai,synonym,newleetcode.json,Q00016,0.15,,
openai,synonym,newleetcode.json,Q00016,0.2,0.7750000000000001,0.9883307218551636
openai,synonym,newleetcode.json,Q00016,0.2,,
openai,synonym,newleetcode.json,Q00016,0.2,,
openai,synonym,newleetcode.json,Q00016,0.2,,
openai,synonym,newleetcode.json,Q00016,0.2,,
openai,synonym,newleetcode.json,Q00016,0.25,,
openai,synonym,newleetcode.json,Q00016,0.25,,
openai,synonym,newleetcode.json,Q00016,0.25,,
openai,synonym,newleetcode.json,Q00016,0.25,,
openai,synonym,newleetcode.json,Q00016,0.25,,
openai,synonym,newleetcode.json,Q00016,0.3,,
openai,synonym,newleetcode.json,Q00016,0.3,,
openai,synonym,newleetcode.json,Q00016,0.3,,
openai,synonym,newleetcode.json,Q00016,0.3,,
openai,synonym,newleetcode.json,Q00016,0.3,,
openai,synonym,newleetcode.json,Q00016,0.35,,
openai,synonym,newleetcode.json,Q00016,0.35,,
openai,synonym,newleetcode.json,Q00016,0.35,,
openai,synonym,newleetcode.json,Q00016,0.35,,
openai,synonym,newleetcode.json,Q00016,0.35,,
openai,synonym,newleetcode.json,Q00016,0.4,0.2518574593827812,0.9683048129081726
openai,synonym,newleetcode.json,Q00016,0.4,,
openai,synonym,newleetcode.json,Q00016,0.4,,
openai,synonym,newleetcode.json,Q00016,0.4,,
openai,synonym,newleetcode.json,Q00016,0.4,,
openai,synonym,newleetcode.json,Q00016,0.45,,
openai,synonym,newleetcode.json,Q00016,0.45,,
openai,synonym,newleetcode.json,Q00016,0.45,,
openai,synonym,newleetcode.json,Q00016,0.45,,
openai,synonym,newleetcode.json,Q00016,0.45,,
openai,synonym,newleetcode.json,Q00016,0.5,,
openai,synonym,newleetcode.json,Q00016,0.5,,
openai,synonym,newleetcode.json,Q00016,0.5,,
openai,synonym,newleetcode.json,Q00016,0.5,,
openai,synonym,newleetcode.json,Q00016,0.5,,
openai,synonym,newleetcode.json,Q00016,0.55,,
openai,synonym,newleetcode.json,Q00016,0.55,,
openai,synonym,newleetcode.json,Q00016,0.55,,
openai,synonym,newleetcode.json,Q00016,0.55,,
openai,synonym,newleetcode.json,Q00016,0.55,,
openai,synonym,newleetcode.json,Q00016,0.6,0.26134224747896817,0.9689089059829712
openai,synonym,newleetcode.json,Q00016,0.6,,
openai,synonym,newleetcode.json,Q00016,0.6,,
openai,synonym,newleetcode.json,Q00016,0.6,,
openai,synonym,newleetcode.json,Q00016,0.6,,
openai,synonym,newleetcode.json,Q00016,0.65,,
openai,synonym,newleetcode.json,Q00016,0.65,,
openai,synonym,newleetcode.json,Q00016,0.65,,
openai,synonym,newleetcode.json,Q00016,0.65,,
openai,synonym,newleetcode.json,Q00016,0.65,,
openai,synonym,newleetcode.json,Q00016,0.7,,
openai,synonym,newleetcode.json,Q00016,0.7,,
openai,synonym,newleetcode.json,Q00016,0.7,,
openai,synonym,newleetcode.json,Q00016,0.7,,
openai,synonym,newleetcode.json,Q00016,0.7,,
openai,synonym,newleetcode.json,Q00016,0.75,,
openai,synonym,newleetcode.json,Q00016,0.75,,
openai,synonym,newleetcode.json,Q00016,0.75,,
openai,synonym,newleetcode.json,Q00016,0.75,,
