model,method,dataset,task,augmentation_rate,tsed_score,bert_score
openai,synonym,oldleetcode.json,Q00004,0.0,1.0,1.0
openai,synonym,oldleetcode.json,Q00004,0.0,1.0,1.0
openai,synonym,oldleetcode.json,Q00004,0.0,1.0,1.0
openai,synonym,oldleetcode.json,Q00004,0.0,1.0,1.0
openai,synonym,oldleetcode.json,Q00004,0.0,1.0,1.0
openai,synonym,oldleetcode.json,Q00004,0.05,,
openai,synonym,oldleetcode.json,Q00004,0.05,,
openai,synonym,oldleetcode.json,Q00004,0.05,,
openai,synonym,oldleetcode.json,Q00004,0.05,,
openai,synonym,oldleetcode.json,Q00004,0.05,,
openai,synonym,oldleetcode.json,Q00004,0.1,0.20000000000000046,0.9848408699035645
openai,synonym,oldleetcode.json,Q00004,0.1,0.7701149425287356,0.9943868517875671
openai,synonym,oldleetcode.json,Q00004,0.1,0.8736842105263157,0.9974640607833862
openai,synonym,oldleetcode.json,Q00004,0.1,1.0,1.0
openai,synonym,oldleetcode.json,Q00004,0.1,0.26250000000000034,0.9867836833000183
openai,synonym,oldleetcode.json,Q00004,0.15,,
openai,synonym,oldleetcode.json,Q00004,0.15,,
openai,synonym,oldleetcode.json,Q00004,0.15,,
openai,synonym,oldleetcode.json,Q00004,0.15,,
openai,synonym,oldleetcode.json,Q00004,0.15,,
openai,synonym,oldleetcode.json,Q00004,0.2,0.98125,0.9953383207321167
openai,synonym,oldleetcode.json,Q00004,0.2,0.98125,0.9953383207321167
openai,synonym,oldleetcode.json,Q00004,0.2,0.98125,0.9953383207321167
openai,synonym,oldleetcode.json,Q00004,0.2,0.98125,0.9953383207321167
openai,synonym,oldleetcode.json,Q00004,0.2,0.98125,0.9953383207321167
openai,synonym,oldleetcode.json,Q00004,0.25,,
openai,synonym,oldleetcode.json,Q00004,0.25,,
openai,synonym,oldleetcode.json,Q00004,0.25,,
openai,synonym,oldleetcode.json,Q00004,0.25,,
openai,synonym,oldleetcode.json,Q00004,0.25,,
openai,synonym,oldleetcode.json,Q00004,0.3,0.19875000000000043,0.9837049245834351
openai,synonym,oldleetcode.json,Q00004,0.3,0.19875000000000043,0.9837049245834351
openai,synonym,oldleetcode.json,Q00004,0.3,0.19875000000000043,0.9837049245834351
openai,synonym,oldleetcode.json,Q00004,0.3,0.21375000000000047,0.9828096628189087
openai,synonym,oldleetcode.json,Q00004,0.3,0.19875000000000043,0.9837049245834351
openai,synonym,oldleetcode.json,Q00004,0.35,,
openai,synonym,oldleetcode.json,Q00004,0.35,,
openai,synonym,oldleetcode.json,Q00004,0.35,,
openai,synonym,oldleetcode.json,Q00004,0.35,,
openai,synonym,oldleetcode.json,Q00004,0.35,,
openai,synonym,oldleetcode.json,Q00004,0.4,0.2775000000000003,0.989312469959259
openai,synonym,oldleetcode.json,Q00004,0.4,0.2775000000000003,0.989312469959259
openai,synonym,oldleetcode.json,Q00004,0.4,0.2587500000000003,0.9850972890853882
openai,synonym,oldleetcode.json,Q00004,0.4,0.2775000000000003,0.989312469959259
openai,synonym,oldleetcode.json,Q00004,0.4,0.2587500000000003,0.9850972890853882
openai,synonym,oldleetcode.json,Q00004,0.45,,
openai,synonym,oldleetcode.json,Q00004,0.45,,
openai,synonym,oldleetcode.json,Q00004,0.45,,
openai,synonym,oldleetcode.json,Q00004,0.45,,
openai,synonym,oldleetcode.json,Q00004,0.45,,
openai,synonym,oldleetcode.json,Q00004,0.5,0.18641975308642003,0.9860345721244812
openai,synonym,oldleetcode.json,Q00004,0.5,0.18641975308642003,0.9860345721244812
openai,synonym,oldleetcode.json,Q00004,0.5,0.18641975308642003,0.9860345721244812
openai,synonym,oldleetcode.json,Q00004,0.5,0.18641975308642003,0.9860345721244812
openai,synonym,oldleetcode.json,Q00004,0.5,0.8736842105263157,0.9968565106391907
openai,synonym,oldleetcode.json,Q00004,0.55,,
openai,synonym,oldleetcode.json,Q00004,0.55,,
openai,synonym,oldleetcode.json,Q00004,0.55,,
openai,synonym,oldleetcode.json,Q00004,0.55,,
openai,synonym,oldleetcode.json,Q00004,0.55,,
openai,synonym,oldleetcode.json,Q00004,0.6,0.8440860215053764,0.9945732951164246
openai,synonym,oldleetcode.json,Q00004,0.6,0.8440860215053764,0.9942322969436646
openai,synonym,oldleetcode.json,Q00004,0.6,0.8440860215053764,0.9942322969436646
openai,synonym,oldleetcode.json,Q00004,0.6,0.8440860215053764,0.9942322969436646
openai,synonym,oldleetcode.json,Q00004,0.6,0.8440860215053764,0.9948976635932922
openai,synonym,oldleetcode.json,Q00004,0.65,,
openai,synonym,oldleetcode.json,Q00004,0.65,,
openai,synonym,oldleetcode.json,Q00004,0.65,,
openai,synonym,oldleetcode.json,Q00004,0.65,,
openai,synonym,oldleetcode.json,Q00004,0.65,,
openai,synonym,oldleetcode.json,Q00004,0.7,0.8736842105263157,0.9964812994003296
openai,synonym,oldleetcode.json,Q00004,0.7,0.8736842105263157,0.9964812994003296
openai,synonym,oldleetcode.json,Q00004,0.7,0.797752808988764,0.9939597845077515
openai,synonym,oldleetcode.json,Q00004,0.7,0.8736842105263157,0.9964812994003296
openai,synonym,oldleetcode.json,Q00004,0.7,0.8736842105263157,0.9964812994003296
openai,synonym,oldleetcode.json,Q00004,0.75,,
openai,synonym,oldleetcode.json,Q00004,0.75,,
openai,synonym,oldleetcode.json,Q00004,0.75,,
openai,synonym,oldleetcode.json,Q00004,0.75,,
openai,synonym,oldleetcode.json,Q00004,0.75,,
openai,synonym,oldleetcode.json,Q00004,0.8,0.8230366492146596,0.9938124418258667
openai,synonym,oldleetcode.json,Q00004,0.8,0.8230366492146596,0.9942355155944824
openai,synonym,oldleetcode.json,Q00004,0.8,0.8230366492146596,0.9938709139823914
openai,synonym,oldleetcode.json,Q00004,0.8,0.8230366492146596,0.9950124025344849
openai,synonym,oldleetcode.json,Q00004,0.8,0.8440860215053764,0.9941743612289429
openai,synonym,oldleetcode.json,Q00004,0.85,,
openai,synonym,oldleetcode.json,Q00004,0.85,,
openai,synonym,oldleetcode.json,Q00004,0.85,,
openai,synonym,oldleetcode.json,Q00004,0.85,,
openai,synonym,oldleetcode.json,Q00004,0.85,,
openai,synonym,oldleetcode.json,Q00004,0.9,0.7840909090909091,0.9913212656974792
openai,synonym,oldleetcode.json,Q00004,0.9,0.7840909090909091,0.9909828305244446
openai,synonym,oldleetcode.json,Q00004,0.9,0.7840909090909091,0.9913212656974792
openai,synonym,oldleetcode.json,Q00004,0.9,0.7840909090909091,0.9913212656974792
openai,synonym,oldleetcode.json,Q00004,0.9,0.797752808988764,0.9938944578170776
openai,synonym,oldleetcode.json,Q00004,0.95,,
openai,synonym,oldleetcode.json,Q00004,0.95,,
openai,synonym,oldleetcode.json,Q00004,0.95,,
openai,synonym,oldleetcode.json,Q00004,0.95,,
openai,synonym,oldleetcode.json,Q00004,0.95,,
openai,synonym,oldleetcode.json,Q00004,1.0,0.19259259259259304,0.9859678149223328
openai,synonym,oldleetcode.json,Q00004,1.0,0.19259259259259304,0.9859678149223328
openai,synonym,oldleetcode.json,Q00004,1.0,0.19259259259259304,0.9859678149223328
openai,synonym,oldleetcode.json,Q00004,1.0,0.19259259259259304,0.9859678149223328
openai,synonym,oldleetcode.json,Q00004,1.0,0.19259259259259304,0.9859678149223328
