model,method,dataset,task,augmentation_rate,tsed_score,bert_score
openai,synonym,ourdataset.json,Q00002,0.0,0.8772749391727495,0.9979959726333618
openai,synonym,ourdataset.json,Q00002,0.0,,
openai,synonym,ourdataset.json,Q00002,0.0,,
openai,synonym,ourdataset.json,Q00002,0.0,,
openai,synonym,ourdataset.json,Q00002,0.0,,
openai,synonym,ourdataset.json,Q00002,0.05,,
openai,synonym,ourdataset.json,Q00002,0.05,,
openai,synonym,ourdataset.json,Q00002,0.05,,
openai,synonym,ourdataset.json,Q00002,0.05,,
openai,synonym,ourdataset.json,Q00002,0.05,,
openai,synonym,ourdataset.json,Q00002,0.1,,
openai,synonym,ourdataset.json,Q00002,0.1,,
openai,synonym,ourdataset.json,Q00002,0.1,,
openai,synonym,ourdataset.json,Q00002,0.1,,
openai,synonym,ourdataset.json,Q00002,0.1,,
openai,synonym,ourdataset.json,Q00002,0.15,,
openai,synonym,ourdataset.json,Q00002,0.15,,
openai,synonym,ourdataset.json,Q00002,0.15,,
openai,synonym,ourdataset.json,Q00002,0.15,,
openai,synonym,ourdataset.json,Q00002,0.15,,
openai,synonym,ourdataset.json,Q00002,0.2,0.5610604185822992,0.9881049990653992
openai,synonym,ourdataset.json,Q00002,0.2,,
openai,synonym,ourdataset.json,Q00002,0.2,,
openai,synonym,ourdataset.json,Q00002,0.2,,
openai,synonym,ourdataset.json,Q00002,0.2,,
openai,synonym,ourdataset.json,Q00002,0.25,,
openai,synonym,ourdataset.json,Q00002,0.25,,
openai,synonym,ourdataset.json,Q00002,0.25,,
openai,synonym,ourdataset.json,Q00002,0.25,,
openai,synonym,ourdataset.json,Q00002,0.25,,
openai,synonym,ourdataset.json,Q00002,0.3,,
openai,synonym,ourdataset.json,Q00002,0.3,,
openai,synonym,ourdataset.json,Q00002,0.3,,
openai,synonym,ourdataset.json,Q00002,0.3,,
openai,synonym,ourdataset.json,Q00002,0.3,,
openai,synonym,ourdataset.json,Q00002,0.35,,
openai,synonym,ourdataset.json,Q00002,0.35,,
openai,synonym,ourdataset.json,Q00002,0.35,,
openai,synonym,ourdataset.json,Q00002,0.35,,
openai,synonym,ourdataset.json,Q00002,0.35,,
openai,synonym,ourdataset.json,Q00002,0.4,0.699043943195105,0.9929493069648743
openai,synonym,ourdataset.json,Q00002,0.4,,
openai,synonym,ourdataset.json,Q00002,0.4,,
openai,synonym,ourdataset.json,Q00002,0.4,,
openai,synonym,ourdataset.json,Q00002,0.4,,
openai,synonym,ourdataset.json,Q00002,0.45,,
openai,synonym,ourdataset.json,Q00002,0.45,,
openai,synonym,ourdataset.json,Q00002,0.45,,
openai,synonym,ourdataset.json,Q00002,0.45,,
openai,synonym,ourdataset.json,Q00002,0.45,,
openai,synonym,ourdataset.json,Q00002,0.5,,
openai,synonym,ourdataset.json,Q00002,0.5,,
openai,synonym,ourdataset.json,Q00002,0.5,,
openai,synonym,ourdataset.json,Q00002,0.5,,
openai,synonym,ourdataset.json,Q00002,0.5,,
openai,synonym,ourdataset.json,Q00002,0.55,,
openai,synonym,ourdataset.json,Q00002,0.55,,
openai,synonym,ourdataset.json,Q00002,0.55,,
openai,synonym,ourdataset.json,Q00002,0.55,,
openai,synonym,ourdataset.json,Q00002,0.55,,
openai,synonym,ourdataset.json,Q00002,0.6,0.6076814506211379,0.983202338218689
openai,synonym,ourdataset.json,Q00002,0.6,,
openai,synonym,ourdataset.json,Q00002,0.6,,
openai,synonym,ourdataset.json,Q00002,0.6,,
openai,synonym,ourdataset.json,Q00002,0.6,,
openai,synonym,ourdataset.json,Q00002,0.65,,
openai,synonym,ourdataset.json,Q00002,0.65,,
openai,synonym,ourdataset.json,Q00002,0.65,,
openai,synonym,ourdataset.json,Q00002,0.65,,
openai,synonym,ourdataset.json,Q00002,0.65,,
openai,synonym,ourdataset.json,Q00002,0.7,,
openai,synonym,ourdataset.json,Q00002,0.7,,
openai,synonym,ourdataset.json,Q00002,0.7,,
openai,synonym,ourdataset.json,Q00002,0.7,,
openai,synonym,ourdataset.json,Q00002,0.7,,
openai,synonym,ourdataset.json,Q00002,0.75,,
openai,synonym,ourdataset.json,Q00002,0.75,,
openai,synonym,ourdataset.json,Q00002,0.75,,
openai,synonym,ourdataset.json,Q00002,0.75,,
openai,synonym,ourdataset.json,Q00002,0.75,,
openai,synonym,ourdataset.json,Q00002,0.8,0.5266726453326671,0.9860219955444336
openai,synonym,ourdataset.json,Q00002,0.8,,
openai,synonym,ourdataset.json,Q00002,0.8,,
openai,synonym,ourdataset.json,Q00002,0.8,,
openai,synonym,ourdataset.json,Q00002,0.8,,
openai,synonym,ourdataset.json,Q00002,0.85,,
openai,synonym,ourdataset.json,Q00002,0.85,,
openai,synonym,ourdataset.json,Q00002,0.85,,
openai,synonym,ourdataset.json,Q00002,0.85,,
