method,augmentation_rate,code_similarity
KeyboardAug,0.0,0.7211267605633808
KeyboardAug,0.0,0.807239819004525
KeyboardAug,0.0,0.914720812182741
KeyboardAug,0.0,0.9405128205128206
KeyboardAug,0.0,0.7799196787148596
KeyboardAug,0.0,0.8721153846153845
KeyboardAug,0.0,0.63375796178344
KeyboardAug,0.0,0.974869109947644
KeyboardAug,0.0,0.8562162162162162
KeyboardAug,0.0,0.8583783783783785
KeyboardAug,0.05,0.7294117647058824
KeyboardAug,0.05,0.8485714285714285
KeyboardAug,0.05,0.7799196787148596
KeyboardAug,0.05,0.958974358974359
KeyboardAug,0.05,0.7304659498207889
KeyboardAug,0.05,0.7773279352226723
KeyboardAug,0.05,0.8309178743961353
KeyboardAug,0.05,0.932994923857868
KeyboardAug,0.05,0.9405128205128206
KeyboardAug,0.05,0.7064935064935067
KeyboardAug,0.1,0.9481865284974094
KeyboardAug,0.1,0.8721153846153845
KeyboardAug,0.1,0.7289377289377293
KeyboardAug,0.1,0.8778378378378379
KeyboardAug,0.1,0.7943775100401608
KeyboardAug,0.1,0.9405128205128206
KeyboardAug,0.1,0.36225165562913625
KeyboardAug,0.1,0.8040816326530614
KeyboardAug,0.1,0.9625668449197861
KeyboardAug,0.1,0.9405128205128206
KeyboardAug,0.15,0.7414141414141415
KeyboardAug,0.15,0.5685245901639343
KeyboardAug,0.15,0.9405128205128206
KeyboardAug,0.15,0.788785046728972
KeyboardAug,0.15,0.3117142857142815
KeyboardAug,0.15,0.932994923857868
KeyboardAug,0.15,0.32609271523178485
KeyboardAug,0.15,0.958974358974359
KeyboardAug,0.15,0.6509433962264153
KeyboardAug,0.15,0.914720812182741
KeyboardAug,0.2,0.7531914893617023
KeyboardAug,0.2,0.7799196787148596
KeyboardAug,0.2,0.7600000000000001
KeyboardAug,0.2,0.7942386831275722
KeyboardAug,0.2,0.7480620155038762
KeyboardAug,0.2,0.567235494880546
KeyboardAug,0.2,0.33202797202796913
KeyboardAug,0.2,0.5476821192052981
KeyboardAug,0.2,0.7521568627450982
KeyboardAug,0.2,0.8562162162162162
KeyboardAug,0.25,0.31898148148147665
KeyboardAug,0.25,0.3414847161572057
KeyboardAug,0.25,0.7750000000000001
KeyboardAug,0.25,0.3059620596205943
KeyboardAug,0.25,0.9037837837837838
KeyboardAug,0.25,0.32738853503184334
KeyboardAug,0.25,0.6930769230769236
KeyboardAug,0.25,0.6962199312714782
KeyboardAug,0.25,0.7058823529411768
