method,augmentation_rate,code_similarity
KeyboardAug,0.0,0.832
KeyboardAug,0.0,0.8869565217391304
KeyboardAug,0.0,0.8265060240963856
KeyboardAug,0.0,0.816600790513834
KeyboardAug,0.0,0.783132530120482
KeyboardAug,0.0,0.8869565217391304
KeyboardAug,0.0,0.807171314741036
KeyboardAug,0.0,0.8953846153846153
KeyboardAug,0.0,0.9415384615384615
KeyboardAug,0.0,0.9025125628140703
KeyboardAug,0.0,0.807725321888412
KeyboardAug,0.0,0.783132530120482
KeyboardAug,0.0,0.7975308641975309
KeyboardAug,0.0,0.7530864197530865
KeyboardAug,0.0,0.7686746987951809
KeyboardAug,0.0,0.7148514851485147
KeyboardAug,0.0,1.0
KeyboardAug,0.0,0.961025641025641
KeyboardAug,0.0,0.961025641025641
KeyboardAug,0.0,0.79265306122449
KeyboardAug,0.05,1.0
KeyboardAug,0.05,0.8485714285714285
KeyboardAug,0.05,0.9251282051282051
KeyboardAug,0.05,0.9692307692307692
KeyboardAug,0.05,0.3623233908948165
KeyboardAug,0.05,0.8715686274509804
KeyboardAug,0.05,0.9230769230769231
KeyboardAug,0.05,0.9446153846153845
KeyboardAug,0.05,0.9187817258883249
KeyboardAug,0.05,1.0
KeyboardAug,0.05,0.8960396039603961
KeyboardAug,0.05,0.8265060240963856
KeyboardAug,0.05,0.9684729064039409
KeyboardAug,0.05,0.759139784946237
KeyboardAug,0.05,0.7204301075268821
KeyboardAug,0.05,0.9009259259259259
KeyboardAug,0.05,0.3407202216066432
KeyboardAug,0.05,0.8960396039603961
KeyboardAug,0.05,0.961025641025641
KeyboardAug,0.05,0.8923076923076924
KeyboardAug,0.1,0.9187817258883249
KeyboardAug,0.1,0.9736040609137057
KeyboardAug,0.1,0.33333333333332904
KeyboardAug,0.1,0.8892156862745099
KeyboardAug,0.1,0.8687179487179487
KeyboardAug,0.1,0.8574358974358974
KeyboardAug,0.1,0.7550200803212853
KeyboardAug,0.1,1.0
KeyboardAug,0.1,0.7530864197530865
KeyboardAug,0.1,1.0
KeyboardAug,0.1,0.8882051282051281
KeyboardAug,0.1,0.7763636363636364
KeyboardAug,0.1,1.0
KeyboardAug,0.1,0.900507614213198
KeyboardAug,0.1,0.9446153846153845
KeyboardAug,0.1,1.0
KeyboardAug,0.1,0.9692307692307692
KeyboardAug,0.1,1.0
KeyboardAug,0.1,0.7242798353909468
KeyboardAug,0.1,0.916923076923077
KeyboardAug,0.15,0.783132530120482
KeyboardAug,0.15,0.31282758620689444
KeyboardAug,0.15,0.41902834008096984
KeyboardAug,0.15,0.9187817258883249
KeyboardAug,0.15,0.7784860557768926
KeyboardAug,0.15,0.9261538461538461
KeyboardAug,0.15,0.9736040609137057
KeyboardAug,0.15,0.7791304347826087
KeyboardAug,0.15,0.9187817258883249
KeyboardAug,0.15,0.832
KeyboardAug,0.15,0.41825902335456283
KeyboardAug,0.15,0.9152709359605912
KeyboardAug,0.15,0.7149090909090913
KeyboardAug,0.15,0.8265060240963856
KeyboardAug,0.15,0.916923076923077
KeyboardAug,0.15,0.3439886845827396
KeyboardAug,0.15,0.6964601769911505
KeyboardAug,0.15,0.33082524271844344
KeyboardAug,0.15,0.9343589743589743
KeyboardAug,0.15,0.7229007633587787
KeyboardAug,0.2,0.703846153846154
KeyboardAug,0.2,0.9692307692307692
KeyboardAug,0.2,0.9684729064039409
KeyboardAug,0.2,0.563076923076923
KeyboardAug,0.2,0.8960396039603961
KeyboardAug,0.2,1.0
KeyboardAug,0.2,0.34269662921347954
KeyboardAug,0.2,0.5361445783132538
KeyboardAug,0.2,0.9251282051282051
KeyboardAug,0.2,0.8265060240963856
KeyboardAug,0.2,1.0
KeyboardAug,0.2,0.8759615384615385
KeyboardAug,0.2,0.6789272030651345
KeyboardAug,0.2,0.7076923076923077
KeyboardAug,0.2,0.6939759036144578
KeyboardAug,0.2,0.6690140845070427
KeyboardAug,0.2,0.7778625954198474
KeyboardAug,0.2,0.9446153846153845
KeyboardAug,0.2,0.7491525423728814
KeyboardAug,0.2,0.6566037735849064
KeyboardAug,0.25,0.3262599469495986
KeyboardAug,0.25,0.7209876543209879
KeyboardAug,0.25,0.7788990825688077
KeyboardAug,0.25,0.7630769230769231
KeyboardAug,0.25,0.7311004784688996
KeyboardAug,0.25,0.3377215189873371
KeyboardAug,0.25,0.9138461538461538
KeyboardAug,0.25,0.832
KeyboardAug,0.25,0.9187817258883249
KeyboardAug,0.25,0.5390663390663399
KeyboardAug,0.25,0.2736196319018402
KeyboardAug,0.25,0.31829105473964897
KeyboardAug,0.25,0.640174672489083
KeyboardAug,0.25,0.9046153846153846
KeyboardAug,0.25,0.5616666666666668
KeyboardAug,0.25,0.8265060240963856
KeyboardAug,0.25,0.430618892508144
KeyboardAug,0.25,0.6991596638655463
KeyboardAug,0.25,0.42587064676616926
KeyboardAug,0.25,0.7710843373493976
KeyboardAug,0.3,0.34013793103447776
KeyboardAug,0.3,0.9446153846153845
KeyboardAug,0.3,0.34111111111110615
KeyboardAug,0.3,0.7975308641975309
KeyboardAug,0.3,0.8367346938775511
KeyboardAug,0.3,0.43450704225351816
KeyboardAug,0.3,0.3132694938440465
KeyboardAug,0.3,0.4206422018348624
KeyboardAug,0.3,0.3114845938375345
KeyboardAug,0.3,0.29676806083649826
KeyboardAug,0.3,0.29025641025641025
KeyboardAug,0.3,0.8285714285714286
KeyboardAug,0.3,0.3321266968325772
KeyboardAug,0.3,1.0
KeyboardAug,0.3,0.5333333333333334
KeyboardAug,0.3,0.7004739336492891
KeyboardAug,0.3,0.31585845347313135
KeyboardAug,0.3,0.32654232424676743
KeyboardAug,0.3,0.4936708860759494
KeyboardAug,0.3,0.9692307692307692
KeyboardAug,0.35,0.2848605577689233
KeyboardAug,0.35,0.4389961389961395
KeyboardAug,0.35,0.9230769230769231
KeyboardAug,0.35,0.28820512820512817
KeyboardAug,0.35,0.43468208092485233
KeyboardAug,0.35,0.43070175438596436
KeyboardAug,0.35,0.7791304347826087
KeyboardAug,0.35,0.7357933579335797
KeyboardAug,0.35,0.9009259259259259
KeyboardAug,0.35,0.313067400275101
KeyboardAug,0.35,0.5865319865319868
